controller,seeds,DR_interval_compliance_pct_mean,DR_event_compliance_pct_mean,DR_violation_energy_kWh_mean,DR_max_violation_kW_mean,physical_projection_fraction_pct_mean,service_coaching_fraction_pct_mean,battery_throughput_kWh_mean,terminal_SOC_error_mean
no_battery,1,0,0,88.0004484489064,53.8608387063862,0,0,0,0
rule_based,1,21.875,6.25,65.5956814817056,43.4606122313437,30.0724637681159,0,1045.63644193914,0.265499946553776
tou_self_consumption,1,6.25,6.25,82.040431270589,50.1452646403602,19.429347826087,0,1033.82986176069,0.253137849470887
carbon_aware,1,53.90625,37.5,36.2392892104529,26.1190669329065,35.1902173913044,0,1671.44211497546,0.297096658939122
greedy_tracking,1,32.03125,0,38.3721893375307,25.3873428446083,10.7110507246377,0,2581.78388200945,0.155314479595503
direct_safesac,5,98.28125,88.75,82.308640121412,139.458026099953,40.7789855072464,18.7567934782609,2892.73588601899,0.157887712870863
residual_sac,5,100,100,0,0,0.285326086956522,5.86050724637681,2827.75893232645,0.191176307946652
proposed_residual_safesac,5,99.84375,98.75,0.325857893959272,1.30343157583709,0.446105072463768,5.30344202898551,2741.28358587263,0.163952268446961
