scenario,controller,seeds,deterministic,daily_cost_EUR_mean,daily_cost_EUR_std_across_seeds,carbon_emissions_kgCO2_mean,carbon_emissions_kgCO2_std_across_seeds,VPP_tracking_RMSE_kW_mean,VPP_tracking_RMSE_kW_std_across_seeds,VPP_tracking_MAE_kW_mean,VPP_tracking_MAE_kW_std_across_seeds,DR_interval_compliance_pct_mean,DR_interval_compliance_pct_std_across_seeds,DR_event_compliance_pct_mean,DR_event_compliance_pct_std_across_seeds,DR_violation_energy_kWh_mean,DR_violation_energy_kWh_std_across_seeds,DR_max_violation_kW_mean,DR_max_violation_kW_std_across_seeds,battery_throughput_kWh_mean,battery_throughput_kWh_std_across_seeds,equivalent_full_cycles_mean,equivalent_full_cycles_std_across_seeds,terminal_SOC_error_mean,terminal_SOC_error_std_across_seeds,mean_daily_peak_import_kW_mean,mean_daily_peak_import_kW_std_across_seeds,horizon_max_grid_import_kW_mean,horizon_max_grid_import_kW_std_across_seeds,physical_projection_fraction_pct_mean,physical_projection_fraction_pct_std_across_seeds,service_coaching_fraction_pct_mean,service_coaching_fraction_pct_std_across_seeds
low_it_load,tou_self_consumption,1,True,269.910518302449,0,3694.20249101967,0,232.104872417679,0,176.208103840854,0,9.375,0,6.25,0,2148.17475423672,0,141.466072797059,0,1104.85805401192,0,0.13810725675149,0,0.259664102688315,0,557.383979832595,0,818.694025869603,0,19.5425724637681,0,0,0
low_it_load,carbon_aware,1,True,285.142769441485,0,3835.63664352717,0,227.731113605864,0,181.807660817889,0,58.59375,0,50,0,935.638138297461,0,138.144733653882,0,1671.44211497546,0,0.208930264371932,0,0.297096658939122,0,647.859723982395,0,1055.36872047697,0,35.1902173913044,0,0,0
low_it_load,greedy_tracking,1,True,341.30598618519,0,4522.02279936421,0,125.756472281049,0,69.9638724240983,0,84.375,0,50,0,9.52065181536454e-06,0,3.550934593477e-06,0,1822.29167398269,0,0.227786459247836,0,0.298309247645823,0,497.581257177196,0,644.479557840815,0,37.7490942028985,0,0,0
low_it_load,direct_safesac,5,False,297.024667385601,11.1742858567125,3825.20771285577,126.885916628085,206.188807243464,16.803658570587,172.138338251312,10.3280462322071,100,0,100,0,0,0,0,0,3012.29778699802,351.475651038272,0.376537223374752,0.043934456379784,0.106684262220783,0.038413330039512,599.560895176455,44.7543521862861,599.560895176455,44.7543521862861,40.9624094202899,23.4840773815308,4.77128623188406,2.73063462218993
low_it_load,residual_sac,5,False,321.024461805679,8.14850187278243,4193.40664197939,97.3955438573666,121.886566556021,3.92102654379767,112.509356491738,4.9418893258838,100,0,100,0,0,0,0,0,2483.37621882754,201.47725011135,0.310422027353442,0.0251846562639192,0.13591373593713,0.0408687567835358,543.120375944932,48.5269704418833,543.120375944932,48.5269704418833,6.30661231884058,2.83920797439447,1.55344202898551,0.583870375705918
low_it_load,proposed_residual_safesac,5,False,329.644333117643,9.10332856146025,4316.07467723302,115.000897978689,118.313318396326,2.1202369830044,102.544428288017,5.88154098479582,100,0,100,0,0,0,0,0,2364.78428709713,158.070567911511,0.295598035887141,0.0197588209889385,0.191255036456048,0.058574022865806,552.10899114362,28.4884867424912,552.10899114362,28.4884867424912,10.3623188405797,3.86054009519635,1.45380434782608,0.74404181714139
high_it_load,no_battery,1,True,528.407135031028,0,6838.56406085997,0,214.100273562197,0,170.849857973585,0,0,0,0,0,13899.3231342058,0,574.666305905901,0,0,0,0,0,0,0,890.113862120357,0,1267.03030526297,0,0,0,0,0
high_it_load,rule_based,1,True,487.982636361789,0,6344.89163708046,0,229.570639626218,0,185.740664071547,0,20.3125,0,0,0,10548.9681925433,0,574.666305905901,0,1018.18542637144,0,0.12727317829643,0,0.265696488043908,0,887.926418724272,0,1267.03030526297,0,29.9479166666667,0,0,0
high_it_load,tou_self_consumption,1,True,488.314146657711,0,6439.06796624076,0,236.791140355028,0,190.472924811701,0,3.125,0,0,0,13018.004979711,0,574.666305905901,0,1004.75325212452,0,0.125594156515565,0,0.247199075734104,0,893.275732311295,0,1267.03030526297,0,19.2934782608696,0,0,0
high_it_load,carbon_aware,1,True,507.942086887436,0,6646.20830668801,0,254.969813177918,0,204.840617756816,0,32.8125,0,0,0,6187.1764715972,0,574.666305905901,0,1671.44211497546,0,0.208930264371932,0,0.297096658939122,0,965.037547249604,0,1545.67674820593,0,35.1902173913044,0,0,0
