variant,seed,daily_cost_EUR,VPP_tracking_RMSE_kW,DR_interval_compliance_pct,DR_violation_energy_kWh,battery_throughput_kWh,terminal_SOC_error,physical_projection_fraction_pct,service_coaching_fraction_pct
direct_sac_no_safety,1,398.8653805294571,166.48523064999236,87.22826086956522,48.53053251785963,2289.441883806949,0.17950851793328482,0.0,0.0
direct_sac_no_safety,2,421.76888180005903,189.80270538845528,82.6086956521739,106.51592058728798,3175.654757970377,0.11254877916170133,0.0,0.0
direct_sac_no_safety,3,418.93251430884635,195.56631445979886,86.95652173913044,43.28338857012401,2087.137611542383,0.10004989204609131,0.0,0.0
direct_sac_no_safety,4,414.20509725918424,148.267957037645,96.19565217391305,5.202703124830367,2445.927564378666,0.0711534142117517,0.0,0.0
direct_sac_no_safety,5,413.98820441839825,244.03028855397224,92.3913043478261,17.4005219328225,3359.3095473783173,0.11474559255689169,0.0,0.0
proposed_no_terminal_recovery,1,388.4972735317769,89.23657699517852,100.0,0.0,3301.9090146243398,0.2125603494259691,0.6000905797101449,4.517663043478261
proposed_no_terminal_recovery,2,401.3918674125454,84.67638640223315,100.0,0.0,2707.5305162215473,0.10222600973592286,0.12454710144927537,7.552083333333333
proposed_no_terminal_recovery,3,388.6005022870198,80.25147391943722,100.0,0.0,2796.5763299566775,0.17750773987050017,0.12454710144927535,5.219655797101449
proposed_no_terminal_recovery,4,389.0686833297009,86.41115442528942,100.0,0.0,2657.2952314303025,0.2086960931393647,0.20380434782608695,6.148097826086956
proposed_no_terminal_recovery,5,389.1266457952199,79.15206550674655,100.0,0.0,2911.7474477219803,0.16894840600064712,0.6453804347826086,5.0724637681159415
proposed_residual_safesac,1,391.20558204692827,81.0263067443096,100.0,0.0,3140.1585319302576,0.1767624842720153,0.4981884057971014,4.755434782608695
proposed_residual_safesac,2,391.2299418360279,86.46242572307565,99.86413043478261,0.017709668149960455,2437.138976706084,0.17991726861948176,0.23777173913043478,6.317934782608695
proposed_residual_safesac,3,398.24652050885277,76.16633840344159,100.0,0.0,2590.400474515544,0.13064014359859727,0.9057971014492755,5.502717391304348
proposed_residual_safesac,4,392.88002184599833,80.41200469412045,100.0,0.0,2697.5088579608287,0.17210041666586043,0.24909420289855075,5.310235507246377
proposed_residual_safesac,5,391.4561286165055,77.78193963535408,100.0,0.0,2841.2110882504126,0.16034102907885026,0.33967391304347827,4.630887681159421
residual_prior_no_safety,1,409.5761417465482,90.17080865126066,90.35326086956522,19.738875617109557,2914.907927227235,0.09982278790509351,0.0,0.0
residual_prior_no_safety,2,408.00867106455365,104.52006799413047,82.6086956521739,33.68279984556786,2879.5456799059643,0.14568495069631948,0.0,0.0
residual_prior_no_safety,3,406.61874468052235,98.51335627853278,82.6086956521739,39.35758784506307,2959.7222623998705,0.11090878497715041,0.0,0.0
residual_prior_no_safety,4,412.6650558757091,97.3239355826792,82.6086956521739,40.18940310532307,2538.097918628329,0.0968540931771396,0.0,0.0
residual_prior_no_safety,5,374.8788938950377,102.62374632317638,84.10326086956522,26.683795925997515,2612.717670656381,0.27327114781179046,0.0,0.0
residual_sac,1,386.07539795933957,88.69207592523888,100.0,0.0,3145.693523042281,0.22248896653727512,0.41893115942028986,3.8043478260869565
residual_sac,2,387.46043706692984,96.055213872338,100.0,0.0,2548.0937386539754,0.21689539441734934,0.44157608695652173,6.567028985507246
residual_sac,3,385.935648291876,85.24444312208904,100.0,0.0,2682.121501273398,0.20621681929347732,0.14719202898550723,5.774456521739131
residual_sac,4,395.70721746512345,85.3044064622906,100.0,0.0,2730.122493674747,0.1710059751321293,0.11322463768115944,6.419836956521739
residual_sac,5,396.26348785543416,83.0316051147743,100.0,0.0,3032.7634049878684,0.13927438435302933,0.30570652173913043,6.736865942028985
