daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,variant,seed,day_index
473.1347126359118,216.7582536958646,473.1347126359118,10856.123235719118,0.0,0.0,5361.887134551653,493.9044093484332,1584.7,1584.7,100.0,1584.7,1.0,2387.7463415265083,0.29846829269081354,983.5167683059956,983.5167683059956,13.0,438.7910722296209,188.11759915064968,140.5281124783467,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.377360970007354,0.6328266797587276,0.4419626424334162,0.10803735756658384,0.0,0.0,0.0,0.0,-2.2578984759985894,direct_sac_no_safety,1,0
448.4228650604788,201.26539446796892,448.4228650604788,10873.88024941229,0.0,0.0,4924.78437562104,452.9003688345027,1639.0,1639.0,100.0,1639.0,1.0,2914.900504052639,0.3643625630065799,949.114041323825,949.114041323825,11.0,336.0584122051356,162.47063119862355,121.24955691909554,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.36963926889492466,0.6574030117597428,0.3701857298661609,0.17981427013383916,0.0,0.0,0.0,0.0,-2.0965145257080096,direct_sac_no_safety,1,1
437.82475216945767,246.29849804067243,437.82475216945767,10092.933672476114,11.8978886858186,11.8978886858186,5369.215067316563,531.9776431265625,1694.9,1694.9,100.0,1694.9,1.0,3275.0940062105656,0.4093867507763207,892.6970348083734,892.6970348083734,13.0,411.2302706105156,199.65109450301097,160.02270545802722,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.2157260605305626,0.5818407793039161,0.2157260605305626,0.33427393946943745,0.0,0.0,0.0,0.0,-2.565609354590338,direct_sac_no_safety,1,2
496.3966041913569,223.17850685650112,496.3966041913569,11089.887153105527,104.38361388458281,104.38361388458281,5576.369372472406,502.83373450836626,939.8,939.8,100.0,939.8,1.0,2829.291991889477,0.3536614989861846,878.7742449304567,878.7742449304567,11.0,234.04539145507465,191.1095722944815,143.1599077349474,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.30354432471488657,0.5127652578840131,0.31029967738707614,0.2397003226129239,0.0,0.0,0.0,0.0,-2.324776113088553,direct_sac_no_safety,1,3
390.25179359433076,186.47114344680028,390.25179359433076,10146.026897230575,0.0,0.0,5072.255401289285,499.9252862885462,1247.3000000000002,1247.3000000000002,100.0,1247.3000000000002,1.0,1870.2292330563068,0.23377865413203835,795.5042516130424,795.5042516130424,5.0,92.07832845558775,153.33384830584214,130.03620965864874,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3503004011771594,0.540146326839826,0.3503004011771594,0.19969959882284066,0.0,0.0,0.0,0.0,-1.942407744237503,direct_sac_no_safety,1,4
251.50098512271083,134.62436128985897,251.50098512271083,7844.091261886098,12.243982079359483,12.243982079359483,3684.874416914412,469.7643479518098,1325.1,1325.1,100.0,1325.1,1.0,1685.963675379753,0.21074545942246914,543.9655077932027,543.9655077932027,0.0,0.0,137.01159287299006,105.97106223683477,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.39102807115077215,0.5580612468704778,0.39102807115077215,0.1589719288492279,0.0,0.0,0.0,0.0,-1.4023370967693642,direct_sac_no_safety,1,5
228.07901581608496,128.2372202851621,228.07901581608496,5327.069974611329,48.259189298857464,48.259189298857464,2879.4152803794195,540.525146863592,1989.8,1987.7720398819342,99.89808221338498,1987.7720398819342,0.9989808221338499,1603.2473221421242,0.20040591526776552,485.89284710887483,485.89284710887483,0.0,0.0,173.24252733788703,141.97209337236953,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.39180791815007576,0.5452939637005326,0.4019622156788642,0.14803778432113585,0.0,0.0,0.0,0.0,-1.3358043779704385,direct_sac_no_safety,1,6
393.3665759840319,198.85972904846102,393.3665759840319,11361.178585819598,0.0,0.0,5034.396165649636,443.1227031263547,779.3,779.3,100.0,779.3,1.0,2037.778951227665,0.2547223689034581,931.8384984823724,931.8384984823724,17.0,512.9839706377603,185.66078661906568,138.83957123375538,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.34753789185350276,0.5710641798734861,0.4608225995331611,0.08917740046683892,0.0,0.0,0.0,0.0,-2.071455510921469,direct_sac_no_safety,1,7
402.1905794490123,197.35374020246988,402.1905794490123,10963.02550174883,0.0,0.0,4792.522546952336,437.15327910053924,1103.7,1103.7,100.0,1103.7,1.0,2667.133692651987,0.3333917115814984,918.1207083553314,918.1207083553314,11.0,335.18930271244824,167.31312110710394,131.4133577349103,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3500744011277626,0.6125146178504156,0.3506700669439803,0.19932993305601976,0.0,0.0,0.0,0.0,-2.055768127109061,direct_sac_no_safety,1,8
345.38934688976474,185.59207542060466,345.38934688976474,10553.974867223707,23.67015858431016,23.67015858431016,4123.8963458674125,390.74343057936716,1621.7,1621.7,100.0,1621.7,1.0,3249.373957514763,0.40617174468934536,902.7257117566653,902.7257117566653,14.0,357.9515770501592,190.25552703371162,149.44032345197766,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3219252406889083,0.6073272017198371,0.323404064196113,0.22659593580388704,0.0,0.0,0.0,0.0,-1.9332507856312986,direct_sac_no_safety,1,9
