daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,day_index,scenario,controller,seed
373.082377971389,151.155543712762,373.082377971389,8693.66197850398,0,0,4195.41950686608,482.583693412478,1584.7,1584.7,100,1584.7,1,4003.12292889461,0.500390366111827,614.393140202882,614.393140202882,0,0,87.9974415574811,74.6912811882794,100,100,0,0,100,0,100,0,0.390924880704967,0.80954767556044,0.677838228574274,0.127838228574274,0,0,0,0,-1.57453691367461,0,low_it_load,residual_sac,1
345.157242210938,155.329486060651,345.157242210938,8698.22550284197,0,0,3933.11936608864,452.174913699762,1639,1639,100,1639,1,3023.92526139746,0.377990657674683,610.757938471722,610.757938471722,0,0,131.658521989723,123.523147510772,100,100,0,0,100,0,100,0,0.5637216477607,0.9,0.642846521037686,0.0928465210376856,9.375,0,9.375,0,-1.61801547979845,1,low_it_load,residual_sac,1
334.634479284623,157.470140549713,334.634479284623,8182.33770908282,0,0,4177.61666643324,510.565172810683,1694.9,1694.9,100,1694.9,1,2992.22644157897,0.374028305197372,511.295309253867,511.295309253867,0,0,135.346822170895,129.925353056563,100,100,0,0,100,0,100,0,0.539295761732496,0.9,0.554084748185355,0.00408474818535531,9.375,0,9.375,0,-1.64031396405951,2,low_it_load,residual_sac,1
407.104519505629,172.748765684078,407.104519505629,9376.47473441646,0,0,4728.21697358425,504.263820626453,939.8,939.8,100,939.8,1,2773.90474777555,0.346738093471944,638.767277630623,638.767277630623,0,0,113.177117868927,102.629206702113,100,100,0,0,100,0,100,0,0.5390019896395,0.883232354023433,0.705386792079811,0.155386792079811,0,0,0,0,-1.79946630920915,3,low_it_load,residual_sac,1
335.05378189504,173.01843028119,335.05378189504,9133.06643180181,0,0,4460.16423731526,488.353421123133,1247.3,1247.3,100,1247.3,1,2804.81644272579,0.350602055340724,608.375264193163,608.375264193163,0,0,134.707715350866,119.724777840629,100,100,0,0,100,0,100,0,0.562872659130117,0.9,0.841683817924782,0.291683817924782,13.5416666666667,0,13.5416666666667,0,-1.80227531542907,4,low_it_load,residual_sac,1
215.548430421799,132.267344902296,215.548430421799,6871.68114986279,0,0,3225.58557451196,469.402683879819,1325.1,1325.1,100,1325.1,1,2213.70552971169,0.276713191213961,571.238855233161,571.238855233161,0,0,128.268742674063,124.694114977354,100,100,0,0,100,0,100,0,0.566464657280882,0.9,0.751298262883472,0.201298262883472,1.04166666666667,0,1.04166666666667,0,-1.37778484273225,5,low_it_load,residual_sac,1
175.050385235441,101.682268488654,175.050385235441,3905.17733423153,0,0,2121.54834049108,543.265557211516,1989.8,1989.8,100,1989.8,1,3298.90587964561,0.412363234955701,367.272587846543,367.272587846543,0,0,135.127391428878,132.707122620195,100,100,0,0,100,0,100,0,0.512575918242668,0.895174980126579,0.523101859291907,0.0268981407080932,0,0,0,0,-1.05919029675681,6,low_it_load,residual_sac,1
325.153746243289,143.26449295958,325.153746243289,9376.46184056652,0,0,4134.00161753886,440.891424487372,779.3,779.3,100,779.3,1,3137.20585407736,0.39215073175967,633.233585135806,633.233585135806,0,0,88.8991237926388,75.8113763295114,100,100,0,0,100,0,100,0,0.401676858704512,0.72542307261993,0.72542307261993,0.17542307261993,0,0,0,0,-1.49233846832896,7,low_it_load,residual_sac,1
309.311611869362,149.148466837918,309.311611869362,8914.75900452116,0,0,3841.47815627633,430.912170965935,1103.7,1103.7,100,1103.7,1,2917.7581710769,0.364719771384613,609.841957250908,609.841957250908,0,0,126.585892429025,121.681833105937,100,100,0,0,100,0,100,0,0.566861970271549,0.9,0.631155449601251,0.0811554496012511,6.25,0,6.25,0,-1.55362986289497,8,low_it_load,residual_sac,1
251.627196779001,131.690265618133,251.627196779001,8241.13826005702,0,0,3176.70938630519,385.469735619168,1621.7,1621.7,100,1621.7,1,2850.00926286725,0.356251157858407,447.537416164159,447.537416164159,0,0,142.728259590851,134.608263533399,100,100,0,0,100,0,100,0,0.539577351941054,0.9,0.56220997428292,0.0122099742829199,12.5,0,12.5,0,-1.37177360018889,9,low_it_load,residual_sac,1
197.61887038946,118.677829736794,197.61887038946,8263.63618938825,0,0,2664.06586716118,322.384215145173,1678,1678,100,1678,1,2870.51210389605,0.358814012987006,580.266920229308,580.266920229308,0,0,144.180898675379,126.136123244554,100,100,0,0,100,0,100,0,0.558187037177764,0.9,0.654188737804089,0.104188737804089,14.5833333333333,0,14.5833333333333,0,-1.23622739309161,10,low_it_load,residual_sac,1
168.775778922787,129.058087016381,168.775778922787,7390.98329239143,132.578980691321,132.578980691321,2819.56851905336,381.487605574205,2333.3,2200.72101930868,94.3179625126935,2200.72101930868,0.943179625126935,2798.02578846217,0.349753223557771,562.394752845804,562.394752845804,0,0,194.491295052353,139.918820071393,100,100,0,0,100,0,100,0,0.563285442658096,0.9,0.719908241838822,0.169908241838822,21.875,0,21.875,0,-1.3443550730873,11,low_it_load,residual_sac,1
114.356253835457,100.004594405975,114.356253835457,5570.09409647409,2.23420297295472,2.23420297295472,2194.47256768038,393.97405675238,2325.2,2322.96579702705,99.9039135139793,2322.96579702705,0.999039135139793,2615.84455822323,0.326980569777904,423.547663490891,423.547663490891,0,0,139.731824362438,123.355355370648,100,100,0,0,100,0,100,0,0.513996947939229,0.9,0.695558007329576,0.145558007329576,11.4583333333333,0,11.4583333333333,0,-1.04171452506223,12,low_it_load,residual_sac,1
