daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,day_index,date,controller,scenario
258.155471662033,122.730655322353,258.155471662033,10826.4264654368,0,0,3496.17310251785,322.929557013047,1678,1678,100,1678,1,0,0,760.456965524923,760.456965524923,12,113.555318619362,172.584365241872,141.874933721381,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.27844432627451,10,2019-10-11,no_battery,baseline_real
244.362363817885,129.745542199439,244.362363817885,9359.46026327418,0,0,3808.15879301411,406.878034191463,2333.3,2333.3,100,2333.3,1,0,0,650.464331039409,650.464331039409,0,0,195.507134232794,156.047438861648,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.35151606457749,11,2019-10-12,no_battery,baseline_real
146.319979525757,97.3848231990351,146.319979525757,7303.06610310337,58.2191492676271,58.2191492676271,2843.89572786854,389.411199038723,2325.2,2266.98085073237,97.4961659527083,2266.98085073237,0.974961659527083,0,0,460.4790183229,460.4790183229,0,0,185.082243406,142.90875887598,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.01442524165662,12,2019-10-13,no_battery,baseline_real
182.824064629011,98.159440108849,182.824064629011,5581.40893872414,446.12475554248,446.12475554248,2660.83434024578,476.731658521697,2654.2,2208.07524445752,83.1917430659905,2208.07524445752,0.831917430659905,0,0,390.642576688087,390.642576688087,0,0,191.425192781609,144.644943047704,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.02249416780051,13,2019-10-14,no_battery,baseline_real
456.831666319332,223.231167440182,456.831666319332,10266.3652846188,0,0,5680.59840045223,553.321281969478,2018.2,2018.2,100,2018.2,1,0,0,741.265575439575,741.265575439575,16,104.701363789558,202.92641013389,176.063050894547,0,0,1,0,0,240.028103831373,0,410.352494581055,0.55,0.55,0.55,0,0,0,0,0,-2.32532466083523,14,2019-10-15,no_battery,baseline_real
423.07454570512,171.309947713947,423.07454570512,10839.8707387464,0,0,5197.19263149112,479.451531918558,1613.7,1613.7,100,1613.7,1,0,0,757.725263227537,757.725263227537,11,77.229989703475,166.402247202915,135.649141819006,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.78447862202028,15,2019-10-16,no_battery,baseline_real
485.641439381095,238.764797272239,485.641439381095,10918.1541845526,0,0,5770.5993296319,528.532500282543,1563.5,1563.5,100,1563.5,1,0,0,768.231469558988,768.231469558988,14,137.083494805931,183.768661466652,149.357025198125,0,0,1,0,0,320.080391487531,0,507.271893955034,0.55,0.55,0.55,0,0,0,0,0,-2.48713330491916,16,2019-10-17,no_battery,baseline_real
361.886862621911,150.531993063905,361.886862621911,10506.1678664603,0,0,4555.61154759953,433.613055255168,1555.2,1555.2,100,1555.2,1,0,0,703.363881046615,703.363881046615,7,24.928889449973,159.313873812775,129.788556095662,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.56804159441567,17,2019-10-18,no_battery,baseline_real
353.417952443409,142.330412043417,353.417952443409,10468.7667499878,0,0,4685.32607196959,447.552819148927,908,908,100,908,1,0,0,626.505901488559,626.505901488559,0,0,106.266378371674,87.042649183087,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.48260845878559,18,2019-10-19,no_battery,baseline_real
274.604541678715,134.877649436989,274.604541678715,7786.10603681975,0,0,4365.28572431646,560.650690303143,1416.7,1416.7,100,1416.7,1,0,0,486.320498214621,486.320498214621,0,0,148.976050120799,120.215106357591,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.40497551496863,19,2019-10-20,no_battery,baseline_real
283.047551766997,113.920615959729,283.047551766997,6446.80663362266,0,0,3684.2038927612,571.47733787246,1177.4,1177.4,100,1177.4,1,0,0,402.510791117719,402.510791117719,0,0,105.01099576899,81.1559938470078,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.18667308291385,20,2019-10-21,no_battery,baseline_real
494.86506908928,235.761032215321,494.86506908928,10579.8563270744,0,0,6098.07895661671,576.385800345076,1432.6,1432.6,100,1432.6,1,0,0,721.264986975643,721.264986975643,9,52.8878107870069,172.031690091232,141.596177531891,0,0,1,0,0,283.732296576923,0,466.54452867581,0.55,0.55,0.55,0,0,0,0,0,-2.45584408557626,21,2019-10-22,no_battery,baseline_real
468.712842303507,195.680481081269,468.712842303507,10876.7130048733,0,0,6153.83692656508,565.780941706179,1354.2,1354.2,100,1354.2,1,0,0,775.773407733681,775.773407733681,10,99.4954133047298,163.236865007611,137.340414511629,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.03833834459655,22,2019-10-23,no_battery,baseline_real
