controller,seed,daily_cost_EUR,carbon_emissions_kgCO2,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,battery_throughput_kWh,equivalent_full_cycles,terminal_SOC_error,mean_daily_peak_import_kW,physical_projection_fraction_pct,service_coaching_fraction_pct,DR_interval_compliance_pct,DR_event_compliance_pct,DR_violation_energy_kWh,DR_max_violation_kW,horizon_max_grid_import_kW,mean_daily_DR_violation_energy_kWh,mean_daily_max_DR_violation_kW,mean_daily_DR_interval_compliance_pct,mean_daily_DR_event_compliance_pct,secondary_daily_average_DR_compliance_pct,test_days
direct_safesac,1,391.44387299814036,5075.191062383384,111.5502983540095,90.57348297176456,2581.973255630485,0.32274665695381055,0.173544005340852,619.875059595639,8.378623188405795,10.303442028985506,99.21875,93.75,1.6292894697963618,6.517157879185447,676.4698656123259,0.017709668149960455,0.07083867259984182,99.86413043478261,98.91304347826087,99.86413043478261,92
direct_safesac,2,406.79151412433976,5249.549681272958,163.38099799724708,137.03280765796782,2764.1535735807342,0.34551919669759185,0.11424248548425339,667.0653040134479,45.61820652173913,21.580615942028988,99.21875,93.75,1.6292894697963618,6.517157879185447,996.5413985647466,0.017709668149960455,0.07083867259984182,99.86413043478261,98.91304347826087,99.86413043478261,92
direct_safesac,3,399.13548294689105,5095.702889545639,172.18098604979218,142.20657317540204,2787.702556203724,0.34846281952546543,0.17894908470272797,689.9084724330751,41.40625000000001,24.094202898550726,98.4375,87.5,5.937600517265878,17.233244189878064,996.5413985647466,0.06453913605723781,0.25815654422895123,99.72826086956522,97.82608695652173,99.72826086956522,92
direct_safesac,4,396.08471133387195,5117.693281940936,173.62201196268,145.72261654384033,3192.3628802613403,0.3990453600326676,0.16670238768048815,689.6196088295903,57.98233695652174,19.19157608695652,95.3125,75.0,318.9691998312618,333.5112852757579,996.5413985647466,3.4670565199050194,7.532082223657896,99.18478260869566,95.65217391304348,99.18478260869566,92
direct_safesac,5,399.240953222342,5135.547942306049,172.0983719429253,143.936136424861,3137.487164418664,0.3921858955523331,0.1560006011459913,675.3665654425241,50.50951086956522,18.61413043478261,99.21875,93.75,83.37782131893948,333.5112852757579,996.5413985647466,0.9062806665102118,3.625122666040847,99.86413043478261,98.91304347826087,99.86413043478261,92
residual_sac,1,386.07539795933957,4989.395998843701,88.69207592523888,76.60679645682286,3145.693523042281,0.39321169038028503,0.22248896653727507,579.7175023532358,0.41893115942028986,3.8043478260869565,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
residual_sac,2,387.4604370669299,5000.03118706684,96.05521387233799,85.83587606462112,2548.0937386539754,0.31851171733174694,0.2168953944173493,585.1363733856349,0.44157608695652173,6.567028985507246,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
residual_sac,3,385.935648291876,5009.382008589345,85.24444312208905,74.13453414848787,2682.121501273398,0.3352651876591748,0.20621681929347732,553.0294911690772,0.14719202898550723,5.774456521739131,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
residual_sac,4,395.70721746512334,5089.219398753224,85.30440646229059,74.66243245382302,2730.122493674747,0.34126531170934343,0.1710059751321293,562.1163373932137,0.11322463768115944,6.419836956521739,100.0,100.0,0.0,0.0,882.7733913547007,0.0,0.0,100.0,100.0,100.0,92
residual_sac,5,396.2634878554343,5136.563122898385,83.03160511477431,72.72411219685613,3032.7634049878675,0.3790954256234834,0.13927438435302933,600.3130300251663,0.30570652173913043,6.736865942028986,100.0,100.0,0.0,0.0,726.902710088039,0.0,0.0,100.0,100.0,100.0,92
proposed_residual_safesac,1,391.2055820469282,5074.870924066451,81.0263067443096,69.68754578548977,3140.158531930257,0.3925198164912821,0.1767624842720153,583.6180925150031,0.4981884057971014,4.755434782608695,100.0,100.0,0.0,0.0,909.0337120378434,0.0,0.0,100.0,100.0,100.0,92
proposed_residual_safesac,2,391.2299418360277,5057.127460544788,86.46242572307567,76.7972263506522,2437.1389767060837,0.3046423720882605,0.17991726861948176,569.5465227021198,0.23777173913043478,6.317934782608695,99.21875,93.75,1.6292894697963618,6.517157879185447,996.5413985647466,0.017709668149960455,0.07083867259984182,99.86413043478261,98.91304347826087,99.86413043478261,92
proposed_residual_safesac,3,398.24652050885277,5155.69952259747,76.16633840344157,66.0310654242296,2590.4004745155435,0.323800059314443,0.13064014359859727,555.2417320520515,0.9057971014492755,5.502717391304347,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
proposed_residual_safesac,4,392.8800218459983,5074.510703838729,80.41200469412045,68.13264160737427,2697.508857960829,0.33718860724510363,0.17210041666586046,561.6025832768006,0.24909420289855075,5.310235507246377,100.0,100.0,0.0,0.0,952.3276157533572,0.0,0.0,100.0,100.0,100.0,92
proposed_residual_safesac,5,391.4561286165055,5095.860126514305,77.78193963535408,65.5654836787067,2841.2110882504126,0.35515138603130153,0.16034102907885026,590.8752881931824,0.3396739130434782,4.630887681159421,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
