controller,seed,daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward
no_battery,0,481.8721828093005,192.3049197902669,481.8721828093005,11165.33671756259,0.0,0.0,5543.072521531214,496.4536817606406,1584.7,1584.7,100.0,1584.7,1.0,0.0,0.0,811.6169429714466,811.6169429714466,14.0,212.4884090911066,192.30730932731225,163.05511329957912,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-2.00317624781528
no_battery,0,458.6560264253471,178.53026386440655,458.6560264253471,11442.808319778673,0.0,0.0,5190.76871115363,453.6271661722662,1639.0,1639.0,100.0,1639.0,1.0,0.0,0.0,795.4336587732491,795.4336587732491,17.0,253.801831470524,172.1718674013727,139.59788525711545,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.8596902485875682
no_battery,0,470.62848194693754,202.3101443543933,470.62848194693754,11248.531328790134,0.0,0.0,6010.945461676052,534.3760252764105,1694.9,1694.9,100.0,1694.9,1.0,0.0,0.0,810.0615173918482,810.0615173918482,18.0,337.9046077021537,192.07725497629605,155.99799081557137,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-2.10739733702493
no_battery,0,510.8497725897579,193.63387202718422,510.8497725897579,11798.048339562074,0.0,0.0,5938.765931998125,503.36850308400784,939.8,939.8,100.0,939.8,1.0,0.0,0.0,774.5253635904298,774.5253635904298,20.0,223.79761394069683,147.72453853194892,124.09044988618227,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-2.017019500283169
no_battery,0,411.7097001086996,171.75335775341603,411.7097001086996,10847.929446944425,0.0,0.0,5427.888113864246,500.3616718205279,1247.3000000000002,1247.3000000000002,100.0,1247.3000000000002,1.0,0.0,0.0,701.0119055646873,701.0119055646873,5.0,13.27775451054228,149.41100889300117,125.7777943949568,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.7890974765980836
no_battery,0,267.16664446218317,124.09016852924239,267.16664446218317,8380.496531267767,0.0,0.0,3976.8341299076683,474.534428248975,1325.1,1325.1,100.0,1325.1,1.0,0.0,0.0,504.23859481789145,504.23859481789145,0.0,0.0,138.3645389945197,109.38170617284784,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.2926059221796082
no_battery,0,243.55822575700589,110.82825783384266,243.55822575700589,5832.332309145439,44.31230074136512,44.31230074136512,3172.577662082611,543.9638028011236,1989.8,1945.4876992586348,97.77302740268544,1945.4876992586348,0.9777302740268544,0.0,0.0,422.9399710178714,422.9399710178714,0.0,0.0,164.15773466791313,130.1013107174375,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.1544610191025277
no_battery,0,400.3368994743834,172.43688754171302,400.3368994743834,11612.986625663634,0.0,0.0,5171.561276652715,445.32568953657784,779.3,779.3,100.0,779.3,1.0,0.0,0.0,795.4139719101449,795.4139719101449,13.0,196.21494824990708,176.20049705580016,144.55423414314689,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.7962175785595107
no_battery,0,411.63150806400876,171.26118542728906,411.63150806400876,11622.611286869556,0.0,0.0,5073.352449035227,436.5071087567696,1103.7,1103.7,100.0,1103.7,1.0,0.0,0.0,809.0128265708923,809.0128265708923,20.0,240.97910921203584,166.28060147003433,141.06887966845096,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.783970681534261
no_battery,0,353.097828148398,155.03800459821446,353.097828148398,11268.972330847992,0.0,0.0,4383.989205045464,389.0318545768909,1621.7,1621.7,100.0,1621.7,1.0,0.0,0.0,787.3619287900422,787.3619287900422,19.0,265.0658029469328,186.55718616650518,154.88483411440453,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.614979214564734
