controller,seeds,daily_cost_EUR_mean,daily_cost_EUR_std_across_seeds,carbon_emissions_kgCO2_mean,carbon_emissions_kgCO2_std_across_seeds,VPP_tracking_RMSE_kW_mean,VPP_tracking_RMSE_kW_std_across_seeds,VPP_tracking_MAE_kW_mean,VPP_tracking_MAE_kW_std_across_seeds,battery_throughput_kWh_mean,battery_throughput_kWh_std_across_seeds,equivalent_full_cycles_mean,equivalent_full_cycles_std_across_seeds,terminal_SOC_error_mean,terminal_SOC_error_std_across_seeds,mean_daily_peak_import_kW_mean,mean_daily_peak_import_kW_std_across_seeds,physical_projection_fraction_pct_mean,physical_projection_fraction_pct_std_across_seeds,service_coaching_fraction_pct_mean,service_coaching_fraction_pct_std_across_seeds,DR_interval_compliance_pct_mean,DR_interval_compliance_pct_std_across_seeds,DR_event_compliance_pct_mean,DR_event_compliance_pct_std_across_seeds,DR_violation_energy_kWh_mean,DR_violation_energy_kWh_std_across_seeds,DR_max_violation_kW_mean,DR_max_violation_kW_std_across_seeds,horizon_max_grid_import_kW_mean,horizon_max_grid_import_kW_std_across_seeds,mean_daily_DR_interval_compliance_pct_mean,mean_daily_DR_interval_compliance_pct_std_across_seeds,mean_daily_DR_event_compliance_pct_mean,mean_daily_DR_event_compliance_pct_std_across_seeds,mean_daily_DR_violation_energy_kWh_mean,mean_daily_DR_violation_energy_kWh_std_across_seeds,mean_daily_max_DR_violation_kW_mean,mean_daily_max_DR_violation_kW_std_across_seeds,secondary_daily_average_DR_compliance_pct_mean,secondary_daily_average_DR_compliance_pct_std_across_seeds
no_battery,1,415.37270805904717,0.0,5385.576472898254,0.0,152.54677645205018,0.0,127.02448843508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.6076191702887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8096.041257299393,0.0,356.40551977989185,0.0,1013.624244210376,0.0,82.6086956521739,0.0,82.6086956521739,0.0,88.00044844890644,0.0,53.860838706386176,0.0,82.6086956521739,0.0
rule_based,1,376.8124831811913,0.0,4926.938206250728,0.0,192.66966451875416,0.0,153.90654531810134,0.0,1045.6364419391412,0.0,0.13070455524239263,0.0,0.2654999465537759,0.0,710.6005937281786,0.0,30.072463768115945,0.0,0.0,0.0,21.875,0.0,6.25,0.0,6034.802696316918,0.0,356.40551977989185,0.0,1013.624244210376,0.0,86.41304347826087,0.0,83.69565217391305,0.0,65.59568148170563,0.0,43.46061223134369,0.0,86.41304347826087,0.0
tou_self_consumption,1,378.45001406895585,0.0,5051.602565170004,0.0,197.63130695770795,0.0,153.74969836811115,0.0,1033.8298617606877,0.0,0.12922873272008595,0.0,0.2531378494708872,0.0,725.6803141075959,0.0,19.429347826086953,0.0,0.0,0.0,6.25,0.0,6.25,0.0,7547.71967689419,0.0,356.40551977989185,0.0,1013.624244210376,0.0,83.69565217391305,0.0,83.69565217391305,0.0,82.04043127058904,0.0,50.14526464036021,0.0,83.69565217391305,0.0
carbon_aware,1,395.84399750180347,0.0,5219.812085519149,0.0,206.77815247090265,0.0,168.98218899005124,0.0,1671.4421149754587,0.0,0.20893026437193232,0.0,0.2970966589391218,0.0,801.2945954303456,0.0,35.19021739130435,0.0,0.0,0.0,53.90625,0.0,37.5,0.0,3334.0146073616643,0.0,356.40551977989185,0.0,1296.5413985647465,0.0,91.9836956521739,0.0,89.1304347826087,0.0,36.239289210452874,0.0,26.119066932906495,0.0,91.9836956521739,0.0
greedy_tracking,1,409.4065975959926,0.0,5348.380749806114,0.0,48.556319070005564,0.0,19.450162333723046,0.0,2581.783882009451,0.0,0.3227229852511814,0.0,0.15531447959550304,0.0,543.0417655954184,0.0,10.711050724637682,0.0,0.0,0.0,32.03125,0.0,0.0,0.0,3530.241419052821,0.0,333.5112852757579,0.0,996.5413985647466,0.0,88.17934782608695,0.0,82.6086956521739,0.0,38.372189337530656,0.0,25.38734284460836,0.0,88.17934782608695,0.0
direct_safesac,5,398.53930692511705,5.59725109234217,5134.736971489793,68.0853842601105,158.56653326133082,26.593405372923378,131.89432335476712,23.325872554917705,2892.7358860189897,261.6382750320634,0.3615919857523736,0.03270478437900797,0.15788771287086253,0.02585955545652494,668.3670020628554,28.80045585426635,40.77898550724638,19.13265156791615,18.756793478260867,5.199289663320484,98.28125,1.6937096397405311,88.75,8.14900300650331,82.30864012141197,136.80297383825697,139.45802609995297,177.19959155783386,932.5270919742625,143.14034106883537,99.70108695652175,0.29455819821574325,98.04347826086958,1.417217914174489,0.894659131754478,1.4869888460680107,2.3114077558254755,3.2877586946024198,99.70108695652175,0.29455819821574325
residual_sac,5,390.28843772774064,5.2382837258822335,5044.918343230298,64.65633718978725,87.66554889934615,5.1076026148585285,76.79275026412219,5.243350209427196,2827.7589323264538,251.03037356713023,0.3534698665408067,0.031378796695891234,0.19117630794665208,0.03524493927162084,576.0625468652655,18.7669748106314,0.28532608695652173,0.15114534960113443,5.860507246376812,1.205738730490282,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,919.860059427396,118.5833493038726,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
proposed_residual_safesac,5,393.0036389708625,3.0115148405590744,5091.613747512349,38.36391055256286,80.36980304006028,3.9344307467413167,69.2427925692905,4.537000723760952,2741.2835858726253,267.5222475353943,0.34266044823407815,0.03344028094192424,0.16395226844696104,0.02005064768951978,572.1768437478315,14.883426852454438,0.44610507246376807,0.2772963610129475,5.303442028985508,0.6748321386443841,99.84375,0.34938562148434216,98.75,2.7950849718747373,0.32585789395927234,0.728640401897851,1.3034315758370894,2.914561607591404,970.1971046970881,39.18655603282749,99.97282608695653,0.06076271677988532,99.78260869565217,0.4861017342390825,0.003541933629992091,0.007920004368454903,0.014167734519968365,0.03168001747381961,99.97282608695653,0.06076271677988532
