scenario,controller,seed,daily_cost_EUR,carbon_emissions_kgCO2,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,battery_throughput_kWh,equivalent_full_cycles,terminal_SOC_error,mean_daily_peak_import_kW,physical_projection_fraction_pct,service_coaching_fraction_pct,DR_interval_compliance_pct,DR_event_compliance_pct,DR_violation_energy_kWh,DR_max_violation_kW,horizon_max_grid_import_kW,mean_daily_DR_violation_energy_kWh,mean_daily_max_DR_violation_kW,mean_daily_DR_interval_compliance_pct,mean_daily_DR_event_compliance_pct,secondary_daily_average_DR_compliance_pct,test_days
baseline_real,no_battery,0,415.37270805904717,5385.576472898254,152.54677645205018,127.02448843507999,0.0,0.0,0.0,711.6076191702887,0.0,0.0,0.0,0.0,8096.041257299392,356.40551977989185,1013.6242442103761,88.00044844890644,53.860838706386176,82.6086956521739,82.6086956521739,82.6086956521739,92
baseline_real,rule_based,0,376.8124831811913,4926.938206250728,192.66966451875416,153.90654531810134,1045.6364419391412,0.13070455524239263,0.2654999465537759,710.6005937281785,30.072463768115945,0.0,21.875,6.25,6034.802696316918,356.40551977989185,1013.6242442103761,65.59568148170563,43.46061223134369,86.41304347826087,83.69565217391305,86.41304347826087,92
baseline_real,tou_self_consumption,0,378.45001406895574,5051.602565170004,197.63130695770795,153.74969836811115,1033.8298617606877,0.12922873272008595,0.2531378494708872,725.6803141075959,19.429347826086953,0.0,6.25,6.25,7547.71967689419,356.40551977989185,1013.6242442103761,82.04043127058902,50.14526464036021,83.69565217391305,83.69565217391305,83.69565217391305,92
baseline_real,carbon_aware,0,395.84399750180336,5219.812085519149,206.77815247090265,168.98218899005127,1671.4421149754587,0.20893026437193232,0.2970966589391218,801.2945954303456,35.19021739130435,0.0,53.90625,37.5,3334.014607361664,356.40551977989185,1296.5413985647465,36.239289210452874,26.119066932906495,91.9836956521739,89.1304347826087,91.9836956521739,92
baseline_real,greedy_tracking,0,409.4065975959926,5348.380749806114,48.556319070005564,19.45016233372305,2581.783882009451,0.3227229852511814,0.15531447959550304,543.0417655954183,10.711050724637682,0.0,32.03125,0.0,3530.2414190528207,333.5112852757579,996.5413985647466,38.372189337530656,25.38734284460836,88.17934782608695,82.6086956521739,88.17934782608695,92
baseline_real,direct_safesac,1,391.44387299814036,5075.191062383384,111.5502983540095,90.57348297176456,2581.973255630485,0.3227466569538106,0.173544005340852,619.8750595956388,8.378623188405795,10.303442028985506,99.21875,93.75,1.6292894697963618,6.517157879185447,676.4698656123259,0.017709668149960455,0.07083867259984182,99.86413043478261,98.91304347826087,99.86413043478261,92
baseline_real,direct_safesac,2,406.79151412433976,5249.549681272958,163.38099799724708,137.03280765796782,2764.1535735807342,0.34551919669759185,0.11424248548425339,667.0653040134479,45.61820652173913,21.580615942028988,99.21875,93.75,1.6292894697963618,6.517157879185447,996.5413985647466,0.017709668149960455,0.07083867259984182,99.86413043478261,98.91304347826087,99.86413043478261,92
baseline_real,direct_safesac,3,399.13548294689105,5095.702889545639,172.18098604979218,142.20657317540204,2787.702556203724,0.34846281952546543,0.17894908470272794,689.908472433075,41.40625000000001,24.094202898550726,98.4375,87.5,5.937600517265878,17.233244189878064,996.5413985647466,0.06453913605723781,0.25815654422895123,99.72826086956522,97.82608695652173,99.72826086956522,92
baseline_real,direct_safesac,4,396.08471133387195,5117.693281940935,173.62201196268,145.72261654384033,3192.3628802613403,0.3990453600326676,0.16670238768048815,689.6196088295903,57.98233695652174,19.19157608695652,95.3125,75.0,318.96919983126173,333.5112852757579,996.5413985647466,3.4670565199050194,7.532082223657896,99.18478260869566,95.65217391304348,99.18478260869566,92
baseline_real,direct_safesac,5,399.240953222342,5135.547942306051,172.09837194292527,143.936136424861,3137.487164418664,0.3921858955523331,0.15600060114599126,675.3665654425241,50.50951086956522,18.61413043478261,99.21875,93.75,83.37782131893948,333.5112852757579,996.5413985647466,0.9062806665102118,3.625122666040847,99.86413043478261,98.91304347826087,99.86413043478261,92
baseline_real,residual_sac,1,386.07539795933957,4989.395998843701,88.69207592523888,76.60679645682286,3145.693523042281,0.39321169038028503,0.22248896653727498,579.7175023532358,0.41893115942028986,3.8043478260869565,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
baseline_real,residual_sac,2,387.4604370669299,5000.03118706684,96.05521387233799,85.83587606462112,2548.093738653975,0.3185117173317468,0.2168953944173493,585.1363733856349,0.44157608695652173,6.567028985507246,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
baseline_real,residual_sac,3,385.935648291876,5009.382008589345,85.24444312208905,74.13453414848787,2682.121501273398,0.33526518765917473,0.2062168192934773,553.0294911690772,0.14719202898550723,5.774456521739131,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
baseline_real,residual_sac,4,395.70721746512334,5089.219398753224,85.30440646229059,74.66243245382302,2730.122493674747,0.34126531170934343,0.17100597513212926,562.1163373932137,0.11322463768115944,6.419836956521739,100.0,100.0,0.0,0.0,882.7733913546999,0.0,0.0,100.0,100.0,100.0,92
baseline_real,residual_sac,5,396.2634878554343,5136.563122898385,83.03160511477431,72.72411219685613,3032.7634049878675,0.3790954256234834,0.13927438435302925,600.3130300251663,0.30570652173913043,6.736865942028986,100.0,100.0,0.0,0.0,726.902710088039,0.0,0.0,100.0,100.0,100.0,92
baseline_real,proposed_residual_safesac,1,391.2055820469282,5074.870924066451,81.0263067443096,69.68754578548977,3140.158531930257,0.3925198164912821,0.17676248427201524,583.6180925150031,0.4981884057971014,4.755434782608695,100.0,100.0,0.0,0.0,909.0337120378442,0.0,0.0,100.0,100.0,100.0,92
baseline_real,proposed_residual_safesac,2,391.2299418360277,5057.127460544788,86.46242572307567,76.7972263506522,2437.1389767060837,0.3046423720882605,0.17991726861948168,569.5465227021198,0.23777173913043478,6.317934782608695,99.21875,93.75,1.6292894697963618,6.517157879185447,996.5413985647466,0.017709668149960455,0.07083867259984182,99.86413043478261,98.91304347826087,99.86413043478261,92
baseline_real,proposed_residual_safesac,3,398.24652050885277,5155.69952259747,76.16633840344157,66.0310654242296,2590.4004745155435,0.323800059314443,0.1306401435985972,555.2417320520515,0.9057971014492755,5.502717391304347,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
baseline_real,proposed_residual_safesac,4,392.8800218459983,5074.510703838729,80.41200469412045,68.13264160737427,2697.508857960829,0.33718860724510363,0.17210041666586037,561.6025832768006,0.24909420289855075,5.310235507246377,100.0,100.0,0.0,0.0,952.3276157533571,0.0,0.0,100.0,100.0,100.0,92
baseline_real,proposed_residual_safesac,5,391.4561286165055,5095.860126514305,77.78193963535408,65.5654836787067,2841.211088250412,0.3551513860313015,0.1603410290788502,590.8752881931824,0.3396739130434782,4.630887681159421,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
low_it_load,no_battery,0,302.49780784209275,3936.794513665585,176.10798997877538,145.89269053227028,0.0,0.0,0.0,533.2774953772926,0.0,0.0,3.125,0.0,2306.4641354315763,141.46607279705938,760.218183157782,25.07026234164757,20.015693870406746,83.15217391304348,82.6086956521739,83.15217391304348,92
low_it_load,rule_based,0,267.7375435323626,3563.9784189227153,231.23887984779884,179.95036185682034,1061.125571985198,0.13264069649814975,0.2678717195939005,535.2727623642417,30.23097826086957,0.0,25.78125,18.75,1691.364013421061,138.1447336538821,760.218183157782,18.384391450228925,15.857700161373645,87.09239130434783,85.8695652173913,87.09239130434783,92
low_it_load,tou_self_consumption,0,269.91051830244936,3694.2024910196665,232.10487241767885,176.20810384085374,1104.85805401192,0.13810725675149002,0.2596641026883151,557.3839798325952,19.542572463768114,0.0,9.375,6.25,2148.1747542367193,141.46607279705938,818.6940258696035,23.349725589529562,18.62075494262285,84.23913043478261,83.69565217391305,84.23913043478261,92
low_it_load,carbon_aware,0,285.1427694414855,3835.63664352717,227.73111360586446,181.80766081788926,1671.4421149754587,0.20893026437193232,0.2970966589391218,647.8597239823952,35.19021739130435,0.0,58.59375,50.0,935.638138297461,138.1447336538821,1055.3687204769735,10.169979764102836,9.494407491094126,92.79891304347827,91.30434782608695,92.79891304347827,92
low_it_load,greedy_tracking,0,341.30598618518997,4522.022799364209,125.75647228104926,69.96387242409828,1822.2916739826896,0.22778645924783622,0.2983092476458232,497.5812571771959,37.74909420289855,0.0,84.375,50.0,9.520651815364545e-06,3.5509345934769954e-06,644.4795578408146,1.0348534581917983e-07,1.987102115702763e-07,97.28260869565217,91.30434782608695,97.28260869565217,92
low_it_load,direct_safesac,1,279.2887214933784,3631.3710735160353,178.7475501071071,156.30281956283758,2647.087452599507,0.3308859315749383,0.1733022043327949,519.9955743654581,3.9741847826086962,0.973731884057971,100.0,100.0,0.0,0.0,676.4698656123257,0.0,0.0,100.0,100.0,100.0,92
low_it_load,direct_safesac,2,309.47316161697637,3987.45654619295,201.52755146405204,167.28044762183328,2844.7666713239414,0.3555958339154927,0.07835052394972036,620.6800329673243,43.30842391304348,6.1707427536231885,100.0,100.0,0.0,0.0,676.4698656123257,0.0,0.0,100.0,100.0,100.0,92
low_it_load,direct_safesac,3,302.4177361006203,3838.184435153097,214.42853179682112,178.24533453121995,2793.1622247666487,0.34914527809583107,0.08448622790648468,620.863283420761,35.869565217391305,8.28804347826087,100.0,100.0,0.0,0.0,676.4698656123257,0.0,0.0,100.0,100.0,100.0,92
