controller,seed,daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward
direct_safesac,1,458.3764858840553,191.0732624729195,458.3764858840553,10570.527802305136,0.0,0.0,5144.867260174031,486.7181049419386,1584.7,1584.7,100.0,1584.7,1.0,2514.95840549469,0.31436980068683623,660.1792477320366,660.1792477320366,0.0,0.0,140.11204789527812,120.85608040947848,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3688378413403894,0.6944234352509832,0.3688378413403894,0.18116215865961066,3.125,0.0,3.125,0.0,-1.9903464840929115
direct_safesac,1,434.8762536776368,179.0277343444061,434.8762536776368,10822.358275355331,0.0,0.0,4920.502645903218,454.6608530885716,1639.0,1639.0,100.0,1639.0,1.0,2426.1273197829723,0.30326591497287153,668.9755818219835,668.9755818219835,0.0,0.0,114.44663436245486,93.87052268537171,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.36066448930749007,0.6647374560992773,0.36355873379023085,0.1864412662097692,4.166666666666666,0.0,4.166666666666666,0.0,-1.8648722327542302
direct_safesac,1,437.91166394432764,195.66742942555618,437.91166394432764,10510.525659148008,0.0,0.0,5503.952000482968,523.6609641585826,1694.9,1694.9,100.0,1694.9,1.0,2500.8469539171806,0.31260586923964756,676.4698656123257,676.4698656123257,0.0,0.0,122.54144892141332,105.27344218901165,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.333172583618281,0.6566503691241935,0.333172583618281,0.21682741638171904,3.125,1.0416666666666665,3.125,1.0416666666666665,-2.0382023898495434
direct_safesac,1,490.49235756588484,202.1401329684677,490.49235756588484,11176.626095835667,30.601276137730807,30.601276137730807,5658.257555997343,506.25810575389744,939.8,939.8,100.0,939.8,1.0,2735.548954000529,0.34194361925006617,676.4698656123257,676.4698656123257,0.0,0.0,135.67422215998062,107.38045493055616,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.35168542505834527,0.6293782646375659,0.35168542505834527,0.19831457494165478,10.416666666666668,1.0416666666666665,10.416666666666668,1.0416666666666665,-2.1056263850882053
direct_safesac,1,379.71620286140603,171.92466721731506,379.71620286140603,10230.90808595104,0.0,0.0,5013.239765212609,490.00926634232303,1247.3000000000002,1247.3000000000002,100.0,1247.3000000000002,1.0,2609.3210220336914,0.3261651277542114,592.3971289480289,592.3971289480289,0.0,0.0,96.8158214633165,76.46352726837331,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.36206685013970996,0.717086423458041,0.36206685013970996,0.18793314986029008,3.125,0.0,3.125,0.0,-1.7908819501803652
direct_safesac,1,249.72361490219834,131.58619324306278,249.72361490219834,7974.205284108525,0.0,0.0,3716.8702380388313,466.1116820563967,1325.1,1325.1,100.0,1325.1,1.0,2975.2241156995296,0.37190301446244123,476.02321663255725,476.02321663255725,0.0,0.0,100.35163075577364,80.31331993023962,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.41012454618405736,0.7810562891910147,0.41012454618405736,0.13987545381594269,1.0416666666666665,0.0,1.0416666666666665,0.0,-1.3706895129485706
direct_safesac,1,233.40181492264728,117.34625815413216,233.40181492264728,5309.13978290501,42.40219033798584,42.40219033798584,2867.2158550288696,540.0528093573778,1989.8,1989.8,100.0,1989.8,1.0,2985.237468034029,0.3731546835042536,423.1378709122801,423.1378709122801,0.0,0.0,111.32075361094331,88.35977312519846,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3812104672021968,0.7127441948794416,0.3812104672021968,0.16878953279780323,2.083333333333333,0.0,2.083333333333333,0.0,-1.22235685577221
direct_safesac,1,390.24419798571324,182.6034574402106,390.24419798571324,11070.311292516084,0.0,0.0,4938.770685094475,446.1275346821779,779.3,779.3,100.0,779.3,1.0,2275.448160295989,0.2844310200369986,676.4698656123257,676.4698656123257,0.0,0.0,160.4446732417885,144.71193850030724,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.37873124669118247,0.663208555979164,0.3849610504023584,0.16503894959764165,7.291666666666667,1.0416666666666665,7.291666666666667,1.0416666666666665,-1.9021193483355272
direct_safesac,1,389.1814781761189,172.35180120015997,389.1814781761189,10983.782798774919,0.0,0.0,4795.5425194145355,436.602089395778,1103.7,1103.7,100.0,1103.7,1.0,2445.4006377886053,0.30567507972357566,676.4698656123257,676.4698656123257,0.0,0.0,115.0617933509718,91.5023022876253,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3555449279255825,0.6792949865140808,0.35871082094941614,0.1912891790505839,7.291666666666667,1.0416666666666665,7.291666666666667,1.0416666666666665,-1.7953312625016664
direct_safesac,1,330.948067676262,154.0704164852877,330.948067676262,10726.419728226352,0.0,0.0,4148.565998294536,386.76148271334847,1621.7,1621.7,100.0,1621.7,1.0,2645.864871474828,0.3307331089343535,676.4698656123257,676.4698656123257,0.0,0.0,118.15257996954699,99.33080701033714,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.37880915067724624,0.6981228820048275,0.380239716913623,0.16976028308637703,2.083333333333333,1.0416666666666665,2.083333333333333,1.0416666666666665,-1.6049001717217468
direct_safesac,1,254.2672570591303,131.53486531520807,254.2672570591303,10284.786973841114,0.0,0.0,3354.8877770889276,326.1990535751427,1678.0,1678.0,100.0,1678.0,1.0,3254.8550102334148,0.4068568762791768,676.4698656123257,676.4698656123257,0.0,0.0,116.4165686474038,92.51752267969978,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.37265559259754794,0.7999368060316667,0.37265559259754794,0.1773444074024521,3.125,5.208333333333334,3.125,5.208333333333334,-1.3701548470334173
direct_safesac,1,194.64886114348405,125.65613042689283,194.64886114348405,8708.06939782904,0.0,0.0,3240.9163870650273,372.1739273085033,2333.3,2333.3,100.0,2333.3,1.0,3213.66611123085,0.4017082639038563,603.3719518726994,603.3719518726994,0.0,0.0,110.94430704345503,90.4679507755197,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3457100569270555,0.8210775371297804,0.3457100569270555,0.20428994307294457,0.0,0.0,0.0,0.0,-1.3089180252801336
direct_safesac,1,142.00620092729682,104.67401404951647,142.00620092729682,7114.064237114447,0.0,0.0,2816.6822100904087,395.93151203156555,2325.2,2325.2,100.0,2325.2,1.0,3749.4940616190434,0.46868675770238044,475.7761637928777,475.7761637928777,0.0,0.0,101.67754770766176,79.87921559233813,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.4447481936530063,0.8741748173476049,0.46915923821445776,0.08084076178554228,1.0416666666666665,0.0,1.0416666666666665,0.0,-1.0903543130157967
direct_safesac,1,170.43987146408432,99.47978219148408,170.43987146408432,4618.234746910468,0.0,0.0,2236.697656189146,484.31874488092325,2654.2000000000003,2654.2000000000003,99.99999999999999,2654.2000000000003,0.9999999999999999,3357.5031861662865,0.4196878982707858,410.0992500209006,410.0992500209006,0.0,0.0,104.97257897668835,87.87071839690248,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3774943272161643,0.7492808537675362,0.3774943272161643,0.17250567278383572,7.291666666666667,0.0,7.291666666666667,0.0,-1.0362477311612925
direct_safesac,1,434.05216490324904,190.77725815382223,434.05216490324904,9665.94932733525,0.0,0.0,5285.69095286192,546.8361951695749,2018.2,2018.2,100.0,2018.2,1.0,2789.5590710755077,0.3486948838844385,676.4698656123257,676.4698656123257,0.0,0.0,130.72896405537537,108.73519274601462,100.0,100.0,1.0,1.0,100.0,0.0,100.0,0.0,0.363911398926073,0.7190681479062495,0.363911398926073,0.18608860107392705,5.208333333333334,8.333333333333332,5.208333333333334,8.333333333333332,-1.9872631057689816
direct_safesac,1,398.6669391097011,173.637292633097,398.6669391097011,10157.347859950547,0.0,0.0,4854.992724006149,477.9783848054394,1613.6999999999998,1613.6999999999998,100.0,1613.6999999999998,1.0,2531.145968288183,0.3163932460360229,659.4482476816419,659.4482476816419,0.0,0.0,107.99330049142041,85.06740235940428,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.34667282778720715,0.6624147734335184,0.34667282778720715,0.2033271722127929,1.0416666666666665,0.0,1.0416666666666665,0.0,-1.808721798261427
direct_safesac,1,457.64270051819574,194.76501994561448,457.64270051819574,10217.09046076001,0.0,0.0,5352.328078308879,523.8603004314342,1563.5,1563.5,100.0,1563.5,1.0,2746.32799171404,0.34329099896425497,676.4698656123257,676.4698656123257,0.0,0.0,121.74185435847421,99.19121247803439,100.0,100.0,1.0,1.0,100.0,0.0,100.0,0.0,0.339270958722694,0.6525496110398519,0.339270958722694,0.21072904127730602,12.5,9.375,12.5,9.375,-2.028802291100151
direct_safesac,1,345.1801489977033,163.89054148808498,345.1801489977033,9857.647580014665,37.4469063532096,37.4469063532096,4249.774486579354,431.1144674308829,1555.2,1555.2,100.0,1555.2,1.0,3255.0274662673473,0.40687843328341844,667.4307115494111,667.4307115494111,0.0,0.0,144.09440379659765,115.72376674361476,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3365239786498835,0.7092031043635583,0.3365239786498835,0.21347602135011656,6.25,0.0,6.25,0.0,-1.707193140500885
direct_safesac,1,327.22249127653555,149.64416723526028,327.22249127653555,9825.475782493544,0.0,0.0,4338.811330774157,441.5879115497691,908.0,908.0,100.0,908.0,1.0,2533.9111916720867,0.31673889895901086,532.3009242946604,532.3009242946604,0.0,0.0,82.12528707018856,59.479200857532845,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.35645823594133696,0.6908879611616662,0.35645823594133696,0.19354176405866308,1.0416666666666665,0.0,1.0416666666666665,0.0,-1.5587934087006279
direct_safesac,1,250.49285268356948,138.92911650163913,250.49285268356948,7283.293218381932,0.0,0.0,4025.186382479271,552.66021314648,1416.7,1416.7,100.0,1416.7,1.0,2827.0775757730007,0.3533846969716251,440.25368359967365,440.25368359967365,0.0,0.0,101.37663091155267,82.20363407331502,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3878629670110782,0.7455441857418539,0.3878629670110782,0.16213703298892185,1.0416666666666665,0.0,1.0416666666666665,0.0,-1.4471782968920743
direct_safesac,1,264.8301327066372,124.49262217878177,264.8301327066372,5929.3502212140775,71.15296563125064,71.15296563125064,3346.6609793717566,564.4228885988292,1177.4,1177.4,100.0,1177.4,1.0,2504.85907047987,0.3131073838099837,378.6732111941878,378.6732111941878,0.0,0.0,100.15889116940106,62.49918247750238,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.37051932880360816,0.6420822832831427,0.37051932880360816,0.17948067119639188,3.125,0.0,3.125,0.0,-1.2967981476956434
direct_safesac,1,467.09145288703945,199.56622480517404,467.09145288703945,10005.574018050338,10.165423561210332,10.165423561210332,5711.649898115134,570.8467987754783,1432.6,1432.6,100.0,1432.6,1.0,2501.6715444547076,0.31270894305683844,639.042546652191,639.042546652191,0.0,0.0,122.16430702118554,101.73202648780686,100.0,100.0,1.0,1.0,100.0,0.0,100.0,0.0,0.3716020017331757,0.6814028348283548,0.3716020017331757,0.17839799826682434,5.208333333333334,7.291666666666667,5.208333333333334,7.291666666666667,-2.078814841720563
