variant,seed,daily_cost_EUR,carbon_emissions_kgCO2,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,battery_throughput_kWh,equivalent_full_cycles,terminal_SOC_error,mean_daily_peak_import_kW,physical_projection_fraction_pct,service_coaching_fraction_pct,DR_interval_compliance_pct,DR_event_compliance_pct,DR_violation_energy_kWh,DR_max_violation_kW,horizon_max_grid_import_kW,mean_daily_DR_violation_energy_kWh,mean_daily_max_DR_violation_kW,mean_daily_DR_interval_compliance_pct,mean_daily_DR_event_compliance_pct,secondary_daily_average_DR_compliance_pct,test_days
direct_sac_no_safety,1,398.8653805294571,5088.76754203234,166.48523064999236,128.507967600009,2289.441883806949,0.2861802354758686,0.17950851793328482,830.9977286633056,0.0,0.0,26.5625,0.0,4464.808991643087,391.87386088592064,1450.2289412943867,48.53053251785964,57.085964350096475,87.22826086956522,82.6086956521739,87.22826086956522,92
direct_sac_no_safety,2,421.768881800059,5309.581876251184,189.80270538845528,150.64026137224067,3175.654757970377,0.39695684474629717,0.1125487791617013,814.3571879791415,0.0,0.0,0.0,0.0,9799.464694030494,591.9593755073156,1126.939081427707,106.51592058728798,72.07381208221287,82.6086956521739,82.6086956521739,82.6086956521739,92
direct_sac_no_safety,3,418.9325143088463,5308.948640450528,195.56631445979886,155.15164425438834,2087.137611542383,0.26089220144279784,0.10004989204609131,866.261641517486,0.0,0.0,25.0,0.0,3982.0717484514084,433.1904865894198,1346.2362028053565,43.283388570124,53.893563843124404,86.95652173913044,82.6086956521739,86.95652173913044,92
direct_sac_no_safety,4,414.20509725918424,5296.903061167917,148.267957037645,113.15531029206713,2445.927564378666,0.3057409455473332,0.0711534142117517,810.65349326824,0.0,0.0,78.125,0.0,478.6486874843938,208.98675256607044,1482.785147282317,5.202703124830366,16.462938596205678,96.19565217391305,82.6086956521739,96.19565217391305,92
direct_sac_no_safety,5,413.98820441839837,5329.565924282381,244.03028855397216,196.7581970022629,3359.3095473783173,0.4199136934222896,0.11474559255689167,950.2629287959593,0.0,0.0,56.25,0.0,1600.8480178196696,352.0163243315841,1590.3387702396674,17.400521932822496,24.670743872617805,92.3913043478261,82.6086956521739,92.3913043478261,92
residual_prior_no_safety,1,409.5761417465482,5280.111209454683,90.17080865126066,81.64509264347346,2914.907927227236,0.3643634909034045,0.0998227879050935,592.193760403122,0.0,0.0,44.53125,31.25,1815.9765567740792,149.3591666221618,787.0635015151975,19.738875617109557,12.066673575928759,90.35326086956522,88.04347826086956,90.35326086956522,92
residual_prior_no_safety,2,408.0086710645537,5232.639752703094,104.52006799413047,95.49791160363542,2879.5456799059643,0.35994320998824564,0.14568495069631948,603.6761355071702,0.0,0.0,0.0,0.0,3098.8175857922424,147.35339214277303,792.4092141574046,33.68279984556786,20.182422636068328,82.6086956521739,82.6086956521739,82.6086956521739,92
residual_prior_no_safety,3,406.6187446805224,5228.148283144537,98.5133562785328,89.16499019883896,2959.7222623998705,0.3699652827999838,0.11090878497715043,590.9094433671057,0.0,0.0,0.0,0.0,3620.8980817458023,147.14948167276418,774.0655244443876,39.35758784506308,22.152426427346565,82.6086956521739,82.6086956521739,82.6086956521739,92
residual_prior_no_safety,4,412.66505587570913,5348.261590295714,97.32393558267918,88.61137151050016,2538.0979186283284,0.31726223982854107,0.09685409317713962,592.7196618020704,0.0,0.0,0.0,0.0,3697.4250856897224,148.6128151416778,787.4700135910911,40.18940310532308,22.44872539342862,82.6086956521739,82.6086956521739,82.6086956521739,92
residual_prior_no_safety,5,374.8788938950377,4888.694080967654,102.62374632317636,93.62286332711254,2612.7176706563805,0.3265897088320476,0.27327114781179057,600.4548271957362,0.0,0.0,8.59375,0.0,2454.9092251917714,148.7762868404388,777.1782104952393,26.683795925997515,19.362015969273756,84.10326086956522,82.6086956521739,84.10326086956522,92
residual_sac,1,386.07539795933957,4989.395998843701,88.69207592523888,76.60679645682286,3145.693523042281,0.39321169038028503,0.22248896653727507,579.7175023532358,0.41893115942028986,3.8043478260869565,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
residual_sac,2,387.4604370669299,5000.03118706684,96.05521387233799,85.83587606462112,2548.0937386539754,0.31851171733174694,0.2168953944173493,585.1363733856349,0.44157608695652173,6.567028985507246,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
residual_sac,3,385.935648291876,5009.382008589345,85.24444312208905,74.13453414848787,2682.121501273398,0.3352651876591748,0.20621681929347732,553.0294911690772,0.14719202898550723,5.774456521739131,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
