controller,seed,daily_cost_EUR,carbon_emissions_kgCO2,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,battery_throughput_kWh,equivalent_full_cycles,terminal_SOC_error,mean_daily_peak_import_kW,physical_projection_fraction_pct,service_coaching_fraction_pct,DR_interval_compliance_pct,DR_event_compliance_pct,DR_violation_energy_kWh,DR_max_violation_kW,horizon_max_grid_import_kW,mean_daily_DR_violation_energy_kWh,mean_daily_max_DR_violation_kW,mean_daily_DR_interval_compliance_pct,mean_daily_DR_event_compliance_pct,secondary_daily_average_DR_compliance_pct,test_days
no_battery,0,415.37270805904717,5385.576472898254,152.54677645205018,127.02448843508,0.0,0.0,0.0,711.6076191702887,0.0,0.0,0.0,0.0,8096.041257299393,356.40551977989185,1013.624244210376,88.00044844890644,53.860838706386176,82.6086956521739,82.6086956521739,82.6086956521739,92
rule_based,0,376.8124831811913,4926.938206250728,192.66966451875416,153.90654531810134,1045.6364419391412,0.13070455524239263,0.2654999465537759,710.6005937281786,30.072463768115945,0.0,21.875,6.25,6034.802696316918,356.40551977989185,1013.624244210376,65.59568148170563,43.46061223134369,86.41304347826087,83.69565217391305,86.41304347826087,92
tou_self_consumption,0,378.45001406895585,5051.602565170004,197.63130695770795,153.74969836811115,1033.8298617606877,0.12922873272008595,0.2531378494708872,725.6803141075959,19.429347826086953,0.0,6.25,6.25,7547.71967689419,356.40551977989185,1013.624244210376,82.04043127058904,50.14526464036021,83.69565217391305,83.69565217391305,83.69565217391305,92
carbon_aware,0,395.84399750180347,5219.812085519149,206.77815247090265,168.98218899005124,1671.4421149754587,0.20893026437193232,0.2970966589391218,801.2945954303456,35.19021739130435,0.0,53.90625,37.5,3334.0146073616643,356.40551977989185,1296.5413985647465,36.239289210452874,26.119066932906495,91.9836956521739,89.1304347826087,91.9836956521739,92
greedy_tracking,0,409.4065975959926,5348.380749806114,48.556319070005564,19.450162333723046,2581.783882009451,0.3227229852511814,0.15531447959550304,543.0417655954184,10.711050724637682,0.0,32.03125,0.0,3530.241419052821,333.5112852757579,996.5413985647466,38.372189337530656,25.38734284460836,88.17934782608695,82.6086956521739,88.17934782608695,92
