scenario,controller,seeds,daily_cost_EUR_mean,daily_cost_EUR_std_across_seeds,carbon_emissions_kgCO2_mean,carbon_emissions_kgCO2_std_across_seeds,VPP_tracking_RMSE_kW_mean,VPP_tracking_RMSE_kW_std_across_seeds,VPP_tracking_MAE_kW_mean,VPP_tracking_MAE_kW_std_across_seeds,battery_throughput_kWh_mean,battery_throughput_kWh_std_across_seeds,equivalent_full_cycles_mean,equivalent_full_cycles_std_across_seeds,terminal_SOC_error_mean,terminal_SOC_error_std_across_seeds,mean_daily_peak_import_kW_mean,mean_daily_peak_import_kW_std_across_seeds,physical_projection_fraction_pct_mean,physical_projection_fraction_pct_std_across_seeds,service_coaching_fraction_pct_mean,service_coaching_fraction_pct_std_across_seeds,DR_interval_compliance_pct_mean,DR_interval_compliance_pct_std_across_seeds,DR_event_compliance_pct_mean,DR_event_compliance_pct_std_across_seeds,DR_violation_energy_kWh_mean,DR_violation_energy_kWh_std_across_seeds,DR_max_violation_kW_mean,DR_max_violation_kW_std_across_seeds,horizon_max_grid_import_kW_mean,horizon_max_grid_import_kW_std_across_seeds,mean_daily_DR_interval_compliance_pct_mean,mean_daily_DR_interval_compliance_pct_std_across_seeds,mean_daily_DR_event_compliance_pct_mean,mean_daily_DR_event_compliance_pct_std_across_seeds,mean_daily_DR_violation_energy_kWh_mean,mean_daily_DR_violation_energy_kWh_std_across_seeds,mean_daily_max_DR_violation_kW_mean,mean_daily_max_DR_violation_kW_std_across_seeds,secondary_daily_average_DR_compliance_pct_mean,secondary_daily_average_DR_compliance_pct_std_across_seeds
baseline_real,no_battery,1,415.37270805904717,0.0,5385.576472898254,0.0,152.54677645205018,0.0,127.02448843507999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.6076191702887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8096.041257299392,0.0,356.40551977989185,0.0,1013.6242442103761,0.0,82.6086956521739,0.0,82.6086956521739,0.0,88.00044844890644,0.0,53.860838706386176,0.0,82.6086956521739,0.0
baseline_real,rule_based,1,376.8124831811913,0.0,4926.938206250728,0.0,192.66966451875416,0.0,153.90654531810134,0.0,1045.6364419391412,0.0,0.13070455524239263,0.0,0.2654999465537759,0.0,710.6005937281785,0.0,30.072463768115945,0.0,0.0,0.0,21.875,0.0,6.25,0.0,6034.802696316918,0.0,356.40551977989185,0.0,1013.6242442103761,0.0,86.41304347826087,0.0,83.69565217391305,0.0,65.59568148170563,0.0,43.46061223134369,0.0,86.41304347826087,0.0
baseline_real,tou_self_consumption,1,378.45001406895574,0.0,5051.602565170004,0.0,197.63130695770795,0.0,153.74969836811115,0.0,1033.8298617606877,0.0,0.12922873272008595,0.0,0.2531378494708872,0.0,725.6803141075959,0.0,19.429347826086953,0.0,0.0,0.0,6.25,0.0,6.25,0.0,7547.71967689419,0.0,356.40551977989185,0.0,1013.6242442103761,0.0,83.69565217391305,0.0,83.69565217391305,0.0,82.04043127058902,0.0,50.14526464036021,0.0,83.69565217391305,0.0
baseline_real,carbon_aware,1,395.84399750180336,0.0,5219.812085519149,0.0,206.77815247090265,0.0,168.98218899005127,0.0,1671.4421149754587,0.0,0.20893026437193232,0.0,0.2970966589391218,0.0,801.2945954303456,0.0,35.19021739130435,0.0,0.0,0.0,53.90625,0.0,37.5,0.0,3334.014607361664,0.0,356.40551977989185,0.0,1296.5413985647465,0.0,91.9836956521739,0.0,89.1304347826087,0.0,36.239289210452874,0.0,26.119066932906495,0.0,91.9836956521739,0.0
baseline_real,greedy_tracking,1,409.4065975959926,0.0,5348.380749806114,0.0,48.556319070005564,0.0,19.45016233372305,0.0,2581.783882009451,0.0,0.3227229852511814,0.0,0.15531447959550304,0.0,543.0417655954183,0.0,10.711050724637682,0.0,0.0,0.0,32.03125,0.0,0.0,0.0,3530.2414190528207,0.0,333.5112852757579,0.0,996.5413985647466,0.0,88.17934782608695,0.0,82.6086956521739,0.0,38.372189337530656,0.0,25.38734284460836,0.0,88.17934782608695,0.0
baseline_real,direct_safesac,5,398.53930692511705,5.59725109234217,5134.736971489792,68.08538426011057,158.56653326133082,26.593405372923375,131.89432335476712,23.325872554917705,2892.7358860189897,261.6382750320634,0.3615919857523737,0.03270478437900795,0.15788771287086253,0.025859555456524935,668.3670020628551,28.800455854266374,40.77898550724638,19.13265156791615,18.756793478260867,5.199289663320484,98.28125,1.6937096397405311,88.75,8.14900300650331,82.30864012141197,136.80297383825695,139.45802609995297,177.19959155783386,932.5270919742625,143.14034106883537,99.70108695652175,0.29455819821574325,98.04347826086958,1.417217914174489,0.894659131754478,1.4869888460680107,2.3114077558254755,3.2877586946024198,99.70108695652175,0.29455819821574325
baseline_real,residual_sac,5,390.28843772774064,5.2382837258822335,5044.918343230298,64.65633718978725,87.66554889934615,5.1076026148585285,76.79275026412219,5.243350209427196,2827.7589323264538,251.03037356713037,0.3534698665408067,0.03137879669589127,0.19117630794665202,0.035244939271620854,576.0625468652655,18.7669748106314,0.28532608695652173,0.15114534960113443,5.860507246376812,1.205738730490282,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,919.8600594273958,118.58334930387265,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
baseline_real,proposed_residual_safesac,5,393.0036389708625,3.0115148405590744,5091.613747512349,38.36391055256286,80.36980304006028,3.9344307467413167,69.2427925692905,4.537000723760952,2741.283585872625,267.52224753539423,0.34266044823407815,0.033440280941924236,0.16395226844696092,0.02005064768951977,572.1768437478315,14.883426852454438,0.44610507246376807,0.2772963610129475,5.303442028985508,0.6748321386443841,99.84375,0.34938562148434216,98.75,2.7950849718747373,0.32585789395927234,0.728640401897851,1.3034315758370894,2.914561607591404,970.1971046970882,39.186556032827184,99.97282608695653,0.06076271677988532,99.78260869565217,0.4861017342390825,0.003541933629992091,0.007920004368454903,0.014167734519968365,0.03168001747381961,99.97282608695653,0.06076271677988532
low_it_load,no_battery,1,302.49780784209275,0.0,3936.794513665585,0.0,176.10798997877538,0.0,145.89269053227028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.2774953772926,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,2306.4641354315763,0.0,141.46607279705938,0.0,760.218183157782,0.0,83.15217391304348,0.0,82.6086956521739,0.0,25.07026234164757,0.0,20.015693870406746,0.0,83.15217391304348,0.0
low_it_load,rule_based,1,267.7375435323626,0.0,3563.9784189227153,0.0,231.23887984779884,0.0,179.95036185682034,0.0,1061.125571985198,0.0,0.13264069649814975,0.0,0.2678717195939005,0.0,535.2727623642417,0.0,30.23097826086957,0.0,0.0,0.0,25.78125,0.0,18.75,0.0,1691.364013421061,0.0,138.1447336538821,0.0,760.218183157782,0.0,87.09239130434783,0.0,85.8695652173913,0.0,18.384391450228925,0.0,15.857700161373645,0.0,87.09239130434783,0.0
