controller,seeds,daily_cost_EUR_mean,daily_cost_EUR_std_across_seeds,daily_cost_EUR_seed_bootstrap_ci95_low,daily_cost_EUR_seed_bootstrap_ci95_high,daily_cost_EUR_median_across_days,daily_cost_EUR_iqr_across_days,daily_cost_EUR_std_across_days,daily_cost_EUR_day_bootstrap_ci95_low,daily_cost_EUR_day_bootstrap_ci95_high,carbon_emissions_kgCO2_mean,carbon_emissions_kgCO2_std_across_seeds,carbon_emissions_kgCO2_seed_bootstrap_ci95_low,carbon_emissions_kgCO2_seed_bootstrap_ci95_high,carbon_emissions_kgCO2_median_across_days,carbon_emissions_kgCO2_iqr_across_days,carbon_emissions_kgCO2_std_across_days,carbon_emissions_kgCO2_day_bootstrap_ci95_low,carbon_emissions_kgCO2_day_bootstrap_ci95_high,VPP_tracking_RMSE_kW_mean,VPP_tracking_RMSE_kW_std_across_seeds,VPP_tracking_RMSE_kW_seed_bootstrap_ci95_low,VPP_tracking_RMSE_kW_seed_bootstrap_ci95_high,VPP_tracking_RMSE_kW_median_across_days,VPP_tracking_RMSE_kW_iqr_across_days,VPP_tracking_RMSE_kW_std_across_days,VPP_tracking_RMSE_kW_day_bootstrap_ci95_low,VPP_tracking_RMSE_kW_day_bootstrap_ci95_high,VPP_tracking_MAE_kW_mean,VPP_tracking_MAE_kW_std_across_seeds,VPP_tracking_MAE_kW_seed_bootstrap_ci95_low,VPP_tracking_MAE_kW_seed_bootstrap_ci95_high,VPP_tracking_MAE_kW_median_across_days,VPP_tracking_MAE_kW_iqr_across_days,VPP_tracking_MAE_kW_std_across_days,VPP_tracking_MAE_kW_day_bootstrap_ci95_low,VPP_tracking_MAE_kW_day_bootstrap_ci95_high,battery_throughput_kWh_mean,battery_throughput_kWh_std_across_seeds,battery_throughput_kWh_seed_bootstrap_ci95_low,battery_throughput_kWh_seed_bootstrap_ci95_high,battery_throughput_kWh_median_across_days,battery_throughput_kWh_iqr_across_days,battery_throughput_kWh_std_across_days,battery_throughput_kWh_day_bootstrap_ci95_low,battery_throughput_kWh_day_bootstrap_ci95_high,equivalent_full_cycles_mean,equivalent_full_cycles_std_across_seeds,equivalent_full_cycles_seed_bootstrap_ci95_low,equivalent_full_cycles_seed_bootstrap_ci95_high,equivalent_full_cycles_median_across_days,equivalent_full_cycles_iqr_across_days,equivalent_full_cycles_std_across_days,equivalent_full_cycles_day_bootstrap_ci95_low,equivalent_full_cycles_day_bootstrap_ci95_high,terminal_SOC_error_mean,terminal_SOC_error_std_across_seeds,terminal_SOC_error_seed_bootstrap_ci95_low,terminal_SOC_error_seed_bootstrap_ci95_high,terminal_SOC_error_median_across_days,terminal_SOC_error_iqr_across_days,terminal_SOC_error_std_across_days,terminal_SOC_error_day_bootstrap_ci95_low,terminal_SOC_error_day_bootstrap_ci95_high,mean_daily_peak_import_kW_mean,mean_daily_peak_import_kW_std_across_seeds,mean_daily_peak_import_kW_seed_bootstrap_ci95_low,mean_daily_peak_import_kW_seed_bootstrap_ci95_high,mean_daily_peak_import_kW_median_across_days,mean_daily_peak_import_kW_iqr_across_days,mean_daily_peak_import_kW_std_across_days,mean_daily_peak_import_kW_day_bootstrap_ci95_low,mean_daily_peak_import_kW_day_bootstrap_ci95_high,physical_projection_fraction_pct_mean,physical_projection_fraction_pct_std_across_seeds,physical_projection_fraction_pct_seed_bootstrap_ci95_low,physical_projection_fraction_pct_seed_bootstrap_ci95_high,physical_projection_fraction_pct_median_across_days,physical_projection_fraction_pct_iqr_across_days,physical_projection_fraction_pct_std_across_days,physical_projection_fraction_pct_day_bootstrap_ci95_low,physical_projection_fraction_pct_day_bootstrap_ci95_high,service_coaching_fraction_pct_mean,service_coaching_fraction_pct_std_across_seeds,service_coaching_fraction_pct_seed_bootstrap_ci95_low,service_coaching_fraction_pct_seed_bootstrap_ci95_high,service_coaching_fraction_pct_median_across_days,service_coaching_fraction_pct_iqr_across_days,service_coaching_fraction_pct_std_across_days,service_coaching_fraction_pct_day_bootstrap_ci95_low,service_coaching_fraction_pct_day_bootstrap_ci95_high,DR_interval_compliance_pct_mean,DR_interval_compliance_pct_std_across_seeds,DR_interval_compliance_pct_seed_bootstrap_ci95_low,DR_interval_compliance_pct_seed_bootstrap_ci95_high,DR_event_compliance_pct_mean,DR_event_compliance_pct_std_across_seeds,DR_event_compliance_pct_seed_bootstrap_ci95_low,DR_event_compliance_pct_seed_bootstrap_ci95_high,DR_event_count_mean,DR_event_count_std_across_seeds,DR_event_count_seed_bootstrap_ci95_low,DR_event_count_seed_bootstrap_ci95_high,DR_successful_event_count_mean,DR_successful_event_count_std_across_seeds,DR_successful_event_count_seed_bootstrap_ci95_low,DR_successful_event_count_seed_bootstrap_ci95_high,horizon_max_grid_import_kW_mean,horizon_max_grid_import_kW_std_across_seeds,horizon_max_grid_import_kW_seed_bootstrap_ci95_low,horizon_max_grid_import_kW_seed_bootstrap_ci95_high,mean_daily_DR_violation_energy_kWh_mean,mean_daily_DR_violation_energy_kWh_std_across_seeds,full_quarter_DR_violation_energy_kWh_mean,full_quarter_DR_violation_energy_kWh_std_across_seeds,mean_daily_max_DR_violation_kW_mean,mean_daily_max_DR_violation_kW_std_across_seeds,full_quarter_max_DR_violation_kW_mean,full_quarter_max_DR_violation_kW_std_across_seeds
no_battery,1,415.372708059047,0.0,415.372708059047,415.372708059047,420.425940949031,209.171960896791,136.876463294201,386.598962524459,442.870206207443,5385.57647289825,0.0,5385.57647289825,5385.57647289825,5554.25099546749,2099.24103435962,1474.7504522983,5089.260926168,5680.55860625537,152.54677645205,0.0,152.54677645205,152.54677645205,159.142017453731,51.4850959403817,33.9038102493963,145.542683224175,159.395598729501,127.02448843508,0.0,127.02448843508,127.02448843508,132.099136728594,38.9875888557178,28.220133734345,121.324622764542,132.709880825688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.607619170289,0.0,711.607619170289,711.607619170289,752.47312516282,245.644218795163,176.595933303548,676.097254044939,746.834855421205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,16,16,0.0,0.0,0.0,0,1013.62424421038,0.0,1013.62424421038,1013.62424421038,88.00044844890644,0.0,8096.041257299393,0.0,53.860838706386176,0.0,356.40551977989185,0.0
rule_based,1,376.812483181191,0.0,376.812483181191,376.812483181191,374.675217491883,178.201387196321,121.804289901278,351.430740140544,401.076711928255,4926.93820625073,0.0,4926.93820625073,4926.93820625073,4972.96793332656,1815.59008089892,1297.88252035652,4667.50461537921,5191.59225240864,192.669664518754,0.0,192.669664518754,192.669664518754,199.119299860217,68.5553987646093,49.2051838613025,182.528111314788,202.454254075714,153.906545318101,0.0,153.906545318101,153.906545318101,155.812912602186,56.1947453001615,39.0981741014683,145.899600803987,161.800941946542,1045.63644193914,0.0,1045.63644193914,1045.63644193914,1330.0,308.125002235177,550.730586007882,932.048332078798,1152.89885737458,0.130704555242393,0.0,0.130704555242393,0.130704555242393,0.16625,0.0385156252793968,0.0688413232509853,0.116494745149584,0.144558210568969,0.265499946553776,0.0,0.265499946553776,0.265499946553776,0.35,0.142083159671777,0.143509594790511,0.235518902075709,0.294512133048607,710.600593728179,0.0,710.600593728179,710.600593728179,752.47312516282,240.674117238003,175.265082867868,675.349624656451,745.666916976567,30.0724637681159,0.0,30.0724637681159,30.0724637681159,25.0,47.1354166666667,28.3103870867411,24.3999094202899,35.8242753623188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.875,0.0,21.875,21.875,6.25,0.0,6.25,6.25,16,0,16,16,1.0,0.0,1.0,1,1013.62424421038,0.0,1013.62424421038,1013.62424421038,65.59568148170563,0.0,6034.802696316918,0.0,43.46061223134369,0.0,356.40551977989185,0.0
tou_self_consumption,1,378.450014068956,0.0,378.450014068956,378.450014068956,396.154729234773,171.963690332265,119.133430123439,353.615307338095,402.237281282332,5051.60256517,0.0,5051.60256517,5051.60256517,5100.07715220093,1777.36543203434,1328.46908699442,4785.41865160091,5324.48614290899,197.631306957708,0.0,197.631306957708,197.631306957708,204.584646589485,81.0365567953008,52.8774700753722,186.771784380938,208.439438394081,153.749698368111,0.0,153.749698368111,153.749698368111,150.926277842071,57.3070497249947,37.8796750257333,146.114055013541,161.411634958656,1033.82986176069,0.0,1033.82986176069,1033.82986176069,1330.0,814.374988824129,641.703467417555,903.525427816873,1161.87168420434,0.129228732720086,0.0,0.129228732720086,0.129228732720086,0.16625,0.101796873603016,0.0802129334271944,0.113028703530118,0.145662246629053,0.253137849470887,0.0,0.253137849470887,0.253137849470887,0.35,0.223167663227497,0.145833053954727,0.222624072343745,0.282190133921525,725.680314107596,0.0,725.680314107596,725.680314107596,752.648082978361,200.917725416805,170.147990987068,691.430134500022,760.075281350471,19.429347826087,0.0,19.429347826087,19.429347826087,14.0625,33.8541666666667,18.9878802469705,15.6589673913043,23.2905910326087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,6.25,6.25,0.0,6.25,6.25,16,0,16,16,1.0,0.0,1.0,1,1013.62424421038,0.0,1013.62424421038,1013.62424421038,82.04043127058904,0.0,7547.71967689419,0.0,50.14526464036021,0.0,356.40551977989185,0.0
carbon_aware,1,395.843997501803,0.0,395.843997501803,395.843997501803,414.311987159604,167.78085576371,125.728139256311,369.737746830553,420.818189257825,5219.81208551915,0.0,5219.81208551915,5219.81208551915,5283.67226719352,1895.36243761298,1270.55288031191,4959.63029992577,5483.89824294079,206.778152470903,0.0,206.778152470903,206.778152470903,208.769123865115,61.4991844132012,44.776894436748,197.549431582661,215.779215879277,168.982188990051,0.0,168.982188990051,168.982188990051,170.78242151738,50.8861368559153,38.5244318068759,161.190311728917,176.712148648229,1671.44211497546,0.0,1671.44211497546,1671.44211497546,1463.40458291141,143.68421052631,926.526644909325,1487.48469301582,1864.29250590209,0.208930264371932,0.0,0.208930264371932,0.208930264371932,0.182925572863927,0.017960526315789,0.115815830613666,0.187051766038041,0.234019518445054,0.297096658939122,0.0,0.297096658939122,0.297096658939122,0.35,0.0416211014473802,0.101722428369137,0.27525357375126,0.316639137324504,801.294595430346,0.0,801.294595430346,801.294595430346,802.61906018802,154.741977863655,175.704664572964,765.399101932373,837.274485243992,35.1902173913044,0.0,35.1902173913044,35.1902173913044,29.6875,54.4270833333334,29.9794466276271,29.1213768115942,41.3836050724638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.90625,0.0,53.90625,53.90625,37.5,0.0,37.5,37.5,16,0,16,16,6.0,0.0,6.0,6,1296.54139856475,0.0,1296.54139856475,1296.54139856475,36.239289210452874,0.0,3334.0146073616643,0.0,26.119066932906495,0.0,356.40551977989185,0.0
greedy_tracking,1,409.406597595993,0.0,409.406597595993,409.406597595993,416.510972464265,157.87012545056,121.196738924115,383.835456604963,433.34240505604,5348.38074980611,0.0,5348.38074980611,5348.38074980611,5412.66771700803,1568.68057164177,1312.61755421362,5085.41917352227,5612.07381793212,48.5563190700056,0.0,48.5563190700056,48.5563190700056,38.6190884520942,72.1486677623383,50.6737366436964,38.2821303371296,58.8517464311346,19.4501623337231,0.0,19.4501623337231,19.4501623337231,9.414033774647,23.5345626907209,26.8424820253168,14.2554237821005,25.3866044807839,2581.78388200945,0.0,2581.78388200945,2581.78388200945,2683.14674251279,1192.44062507833,663.605795704588,2446.65602241781,2716.34492046386,0.322722985251181,0.0,0.322722985251181,0.322722985251181,0.335393342814099,0.149055078134791,0.0829507244630734,0.305541413559492,0.339492272682889,0.155314479595503,0.0,0.155314479595503,0.155314479595503,0.120642756246047,0.133973407530146,0.101673248385015,0.134608599246864,0.176553126739644,543.041765595418,0.0,543.041765595418,543.041765595418,493.721324069027,162.06356516097,142.491102186534,515.202593642356,572.446818380616,10.7110507246377,0.0,10.7110507246377,10.7110507246377,8.33333333333333,14.84375,11.2512782551988,8.50317028985507,13.0774456521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.03125,0.0,32.03125,32.03125,0.0,0.0,0.0,0.0,16,0,16,16,0.0,0.0,0.0,0,996.541398564747,0.0,996.541398564747,996.541398564747,38.372189337530656,0.0,3530.241419052821,0.0,25.38734284460836,0.0,333.5112852757579,0.0
direct_safesac,5,398.539306925117,5.59725109234217,394.520516977641,403.140041385847,409.444425649421,192.613673927944,129.154142191399,371.811083667024,424.041637334468,5134.73697148979,68.0853842601105,5091.60052411319,5195.97997513411,5245.28455006887,1954.5321732833,1384.23150252163,4852.76354140978,5418.08735421173,158.566533261331,26.5934053729234,134.330781004391,172.740873593574,160.785458755286,16.8365871212619,14.5557753505631,155.599925830807,161.505537687651,131.894323354767,23.3258725549177,110.89517462342,144.304815822561,133.096116110626,12.2194058447587,15.3674705462611,128.744859377175,134.981883562014,2892.73588601899,261.638275032063,2695.99124292523,3095.74587575668,2954.46414239416,597.424760198442,342.637290395512,2823.84798604014,2961.3493851288,0.361591985752374,0.0327047843790079,0.336998905365654,0.386968234469586,0.36930801779927,0.0746780950248051,0.0428296612994389,0.352980998255017,0.370168673141099,0.157887712870863,0.0258595554565249,0.135535428460296,0.17433771355353,0.141431060922211,0.066277896394747,0.0613539339336076,0.145606783319157,0.170693257866238,668.367002062855,28.8004558542663,643.262018325991,686.884545593571,673.138642031229,19.9366381295583,77.3797046062003,652.705385521278,684.400559391747,40.7789855072464,19.1326515679161,24.2527173913043,53.1725543478261,41.0416666666667,13.8541666666667,10.2270689234078,38.6955389492754,42.805763134058,18.7567934782609,5.19928966332048,14.3365036231884,22.133152173913,15.4166666666667,28.2291666666667,16.7514854975815,15.4392549818841,22.3234261775362,98.28125,1.69370963974053,96.71875,99.21875,88.75,8.14900300650331,81.25,93.75,16,0,16,16,14.2,1.30384048104053,13.0,15,932.527091974262,143.140341068835,804.498478793294,996.541398564747,0.894659131754478,1.4869888460680107,82.30864012141197,136.80297383825697,2.3114077558254755,3.2877586946024198,139.45802609995297,177.19959155783386
residual_sac,5,390.288437727741,5.23828372588223,386.296505913872,394.280369541609,398.468635212284,206.19612482873,134.499964349429,362.548357140459,417.055950814176,5044.9183432303,64.6563371897873,4997.64727608209,5099.78799090304,5215.69772504767,2068.1066072863,1464.60352224932,4746.07424482953,5346.18255218694,87.6655488993461,5.10760261485853,84.3713005872035,91.9778645314054,83.0565610859987,18.8388253397779,17.813967993405,84.126191497038,91.384436500516,76.7927502641222,5.2433502094272,73.6759450289022,81.3677073695085,69.8750635422766,23.0702761107185,19.5636784317871,72.9336899094489,80.8533748037963,2827.75893232645,251.03037356713,2638.1105947059,3030.39309507762,2778.76634813475,598.362608404449,473.57520426487,2732.22682874178,2926.58638265352,0.353469866540807,0.0313787966958912,0.329763824338237,0.378799136884703,0.347345793516844,0.0747953260505561,0.0591969005331087,0.341528353592723,0.36582329783169,0.191176307946652,0.0352449392716208,0.161144904521713,0.216997108240545,0.19829307112715,0.0630442560563023,0.0453863753060619,0.181853330075804,0.20041085562542,576.062546865266,18.7669748106314,561.268236857216,590.123261834968,582.145749725431,145.047643762062,105.035321915077,554.800561157084,597.664785419338,0.285326086956522,0.151145349601134,0.165307971014493,0.405344202898551,0.0,0.0,1.16905065789655,0.0837862318840579,0.559329710144928,5.86050724637681,1.20573873049028,4.7848731884058,6.60552536231884,0.0,7.91666666666667,11.0014956851367,3.78391077898551,8.26545516304348,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,16,0,16,16,16.0,0.0,16.0,16,919.860059427396,118.583349303873,812.004584036713,996.541398564747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proposed_residual_safesac,5,393.003638970862,3.01151484055907,391.265435276483,395.765033083897,401.227874189096,198.113632708554,132.494487234484,365.726590158228,419.307938524245,5091.61374751235,38.3639105525629,5067.6294505667,5124.0172309703,5192.7112833955,1977.07343800712,1439.63996970248,4800.61138779598,5384.97821262943,80.3698030400603,3.93443074674132,77.6617121543423,83.5162442997403,76.0819704098109,14.3809189515343,17.0459990102531,76.9438328934241,84.0025762335782,69.2427925692905,4.53700072376095,66.2651479626494,73.1289417032306,63.8851448521018,18.8960171606277,17.7187561886118,65.6977585377745,72.9830900353085,2741.28358587263,267.522247535394,2548.60569857684,2960.79006572235,2693.46832419003,601.499088793738,484.886375513987,2644.74821077162,2845.21548657332,0.342660448234078,0.0334402809419242,0.318575712322105,0.370098758215294,0.336683540523753,0.0751873860992172,0.0606107969392483,0.330593526346453,0.355651935821666,0.163952268446961,0.0200506476895197,0.146435745698825,0.177091984489771,0.164870252502952,0.0475471505201255,0.0474904794938931,0.154156735217767,0.173905591391315,572.176843747832,14.8834268524544,560.647030671965,583.706656823698,573.540643379006,152.139862544627,110.032034399708,550.199223710375,595.119129324652,0.446105072463768,0.277296361012948,0.26268115942029,0.690670289855073,0.0,0.0,1.52861815380589,0.181102807971014,0.801630434782609,5.30344202898551,0.674832138644384,4.81657608695652,5.84239130434783,0.0,7.55208333333333,10.1331571214567,3.3830955615942,7.48188405797101,99.84375,0.349385621484342,99.53125,100.0,98.75,2.79508497187474,96.25,100.0,16,0,16,16,15.8,0.447213595499958,15.4,16,970.197104697088,39.1865560328275,935.194030086327,996.541398564747,0.003541933629992091,0.007920004368454903,0.32585789395927234,0.728640401897851,0.014167734519968365,0.03168001747381961,1.3034315758370894,2.914561607591404
