controller,seed,protocol,test_days,daily_cost_EUR,carbon_emissions_kgCO2,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_interval_compliance_pct,DR_event_compliance_pct,DR_violation_energy_kWh,battery_throughput_kWh,terminal_SOC_error,physical_projection_fraction_pct,service_coaching_fraction_pct
direct_safesac,1,daily_reset,92,391.44387299814,5075.19106238338,111.550298354009,90.5734829717646,99.21875,93.75,1.62928946979636,2581.97325563048,0.173544005340852,8.3786231884058,10.3034420289855
direct_safesac,2,daily_reset,92,406.79151412434,5249.54968127296,163.380997997247,137.032807657968,99.21875,93.75,1.62928946979636,2764.15357358073,0.114242485484253,45.6182065217391,21.580615942029
direct_safesac,3,daily_reset,92,399.135482946891,5095.70288954564,172.180986049792,142.206573175402,98.4375,87.5,5.93760051726588,2787.70255620372,0.178949084702728,41.40625,24.0942028985507
direct_safesac,4,daily_reset,92,396.084711333872,5117.69328194094,173.62201196268,145.72261654384,95.3125,75,318.969199831262,3192.36288026134,0.166702387680488,57.9823369565217,19.1915760869565
direct_safesac,5,daily_reset,92,399.240953222342,5135.54794230605,172.098371942925,143.936136424861,99.21875,93.75,83.3778213189395,3137.48716441866,0.156000601145991,50.5095108695652,18.6141304347826
residual_sac,1,daily_reset,92,386.07539795934,4989.3959988437,88.6920759252389,76.6067964568229,100,100,0,3145.69352304228,0.222488966537275,0.41893115942029,3.80434782608696
residual_sac,2,daily_reset,92,387.46043706693,5000.03118706684,96.055213872338,85.8358760646211,100,100,0,2548.09373865398,0.216895394417349,0.441576086956522,6.56702898550725
residual_sac,3,daily_reset,92,385.935648291876,5009.38200858934,85.2444431220891,74.1345341484879,100,100,0,2682.1215012734,0.206216819293477,0.147192028985507,5.77445652173913
residual_sac,4,daily_reset,92,395.707217465123,5089.21939875322,85.3044064622906,74.662432453823,100,100,0,2730.12249367475,0.171005975132129,0.113224637681159,6.41983695652174
residual_sac,5,daily_reset,92,396.263487855434,5136.56312289838,83.0316051147743,72.7241121968561,100,100,0,3032.76340498787,0.139274384353029,0.30570652173913,6.73686594202899
proposed_residual_safesac,1,daily_reset,92,391.205582046928,5074.87092406645,81.0263067443096,69.6875457854898,100,100,0,3140.15853193026,0.176762484272015,0.498188405797101,4.7554347826087
proposed_residual_safesac,2,daily_reset,92,391.229941836028,5057.12746054479,86.4624257230757,76.7972263506522,99.21875,93.75,1.62928946979636,2437.13897670608,0.179917268619482,0.237771739130435,6.3179347826087
proposed_residual_safesac,3,daily_reset,92,398.246520508853,5155.69952259747,76.1663384034416,66.0310654242296,100,100,0,2590.40047451554,0.130640143598597,0.905797101449276,5.50271739130435
proposed_residual_safesac,4,daily_reset,92,392.880021845998,5074.51070383873,80.4120046941205,68.1326416073743,100,100,0,2697.50885796083,0.17210041666586,0.249094202898551,5.31023550724638
proposed_residual_safesac,5,daily_reset,92,391.456128616506,5095.86012651431,77.7819396353541,65.5654836787067,100,100,0,2841.21108825041,0.16034102907885,0.339673913043478,4.63088768115942
