scope,controller,interval_count,day_count,first_timestamp,last_timestamp,max_abs_battery_power_kW,min_SOC,max_SOC,max_energy_balance_error_kW,physical_projection_count,service_coaching_count,max_battery_ramp_kW_per_interval,ramp_override_count,unjustified_ramp_violation_count,no_battery_exact_zero,no_battery_constant_SOC,no_battery_no_intervention,passed
scenario:smooth_cloud_service,carbon_aware,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,0,3108,0,448.843945600101,41,0,,,,True
scenario:smooth_cloud_service,greedy_tracking,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,413.765430450439,0.2,0.9,0,949,0,359.015258690194,5,0,,,,True
scenario:workload_shiftable,no_battery,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,0,0.55,0.55,0,0,0,0,0,0,True,True,True,True
scenario:workload_shiftable,rule_based,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,674.999982118607,0.2,0.9,0,2653,0,604.99994635582,63,0,,,,True
scenario:workload_shiftable,tou_self_consumption,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,0,1719,0,382.124941125511,56,0,,,,True
scenario:workload_shiftable,carbon_aware,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,0,3108,0,448.843945600101,41,0,,,,True
scenario:workload_shiftable,greedy_tracking,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,431.801810860634,0.2,0.9,0,985,0,347.50828850716,1,0,,,,True
scenario:hot_day_cooling_stress,no_battery,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,0,0.55,0.55,0,0,0,0,0,0,True,True,True,True
scenario:hot_day_cooling_stress,rule_based,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,674.999982118607,0.2,0.9,0,2656,0,604.99994635582,63,0,,,,True
scenario:hot_day_cooling_stress,tou_self_consumption,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,0,1716,0,355.968777146191,56,0,,,,True
scenario:hot_day_cooling_stress,carbon_aware,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,0,3108,0,448.843945600101,41,0,,,,True
scenario:hot_day_cooling_stress,greedy_tracking,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,484.551429748535,0.2,0.9,0,940,0,422.545009089737,9,0,,,,True
scenario:dr_coincident_high_load,no_battery,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,0,0.55,0.55,0,0,0,0,0,0,True,True,True,True
scenario:dr_coincident_high_load,rule_based,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,674.999982118607,0.2,0.9,0,2656,0,604.99994635582,63,0,,,,True
scenario:dr_coincident_high_load,tou_self_consumption,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,0,1716,0,355.968777146191,56,0,,,,True
scenario:dr_coincident_high_load,carbon_aware,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,487.499982118607,0.2,0.9,0,3108,0,448.843945600101,41,0,,,,True
scenario:dr_coincident_high_load,greedy_tracking,8832,92,2019-10-01T00:00:00+00:00,2019-12-31T23:45:00+00:00,574.666321277618,0.2,0.9,0,971,0,463.765910968359,13,0,,,,True
