Controller,Metric,PipelineValue,IndependentValue,AbsoluteError,Tolerance,Verified
greedy_tracking,carbon_emissions_kgCO2,5348.38074980611,5348.38074980611,0,5.34838074980611e-05,True
greedy_tracking,imported_energy_kWh,11122.6764565547,11122.6764565547,0,0.000111226764565547,True
greedy_tracking,exported_energy_kWh,1.01796192497819,1.01796192497819,0,1.01796192497819e-08,True
greedy_tracking,VPP_tracking_RMSE_kW,48.5563190700056,48.5563190700056,0,4.85563190700056e-07,True
greedy_tracking,VPP_tracking_MAE_kW,19.450162333723,19.450162333723,3.5527136788005e-15,1.94501623337231e-07,True
greedy_tracking,battery_throughput_kWh,2581.78388200945,2581.78388200945,0,2.58178388200945e-05,True
greedy_tracking,equivalent_full_cycles,0.322722985251181,0.322722985251181,0,1e-08,True
greedy_tracking,terminal_SOC_error,0.155314479595503,0.155314479595503,0,1e-08,True
greedy_tracking,mean_daily_peak_import_kW,543.041765595418,543.041765595418,0,5.43041765595418e-06,True
greedy_tracking,physical_projection_fraction_pct,10.7110507246377,10.7110507246377,0,1.07110507246377e-07,True
greedy_tracking,service_coaching_fraction_pct,0,0,0,1e-08,True
greedy_tracking,DR_interval_compliance_pct,32.03125,32.03125,0,3.203125e-07,True
greedy_tracking,DR_event_compliance_pct,0,0,0,1e-08,True
greedy_tracking,DR_violation_energy_kWh,3530.24141905282,3530.24141905282,0,3.53024141905282e-05,True
greedy_tracking,DR_max_violation_kW,333.511285275758,333.511285275758,0,3.33511285275758e-06,True
greedy_tracking,horizon_max_grid_import_kW,996.541398564747,996.541398564747,0,9.96541398564747e-06,True
